text,url,source_url,concatenated
24,https://tvtropes.org/pmwiki/pmwiki.php/Series/TwentyFour,https://tvtropes.org/pmwiki/pmwiki.php/NeverRecycleYourSchemes/LiveActionTV,'24':'https://tvtropes.org/pmwiki/pmwiki.php/Series/TwentyFour'
A New Hope,https://tvtropes.org/pmwiki/pmwiki.php/Film/ANewHope,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes,'A New Hope':'https://tvtropes.org/pmwiki/pmwiki.php/Film/ANewHope'
Adventures of Sonic the Hedgehog,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventuresOfSonicTheHedgehog,https://tvtropes.org/pmwiki/pmwiki.php/NeverRecycleYourSchemes/WesternAnimation,'Adventures of Sonic the Hedgehog':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventuresOfSonicTheHedgehog'
Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes,'Animorphs':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs'
Assassination Classroom,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AssassinationClassroom,https://tvtropes.org/pmwiki/pmwiki.php/NeverRecycleYourSchemes/AnimeAndManga,'Assassination Classroom':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/AssassinationClassroom'
Attack of the Clones,https://tvtropes.org/pmwiki/pmwiki.php/Film/AttackOfTheClones,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes,'Attack of the Clones':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AttackOfTheClones'
Attack on Titan,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AttackOnTitan,https://tvtropes.org/pmwiki/pmwiki.php/NeverRecycleYourSchemes/AnimeAndManga,'Attack on Titan':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/AttackOnTitan'
Avatar: The Last Airbender,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AvatarTheLastAirbender,https://tvtropes.org/pmwiki/pmwiki.php/NeverRecycleYourSchemes/WesternAnimation,'Avatar: The Last Airbender':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AvatarTheLastAirbender'
Azure Striker Gunvolt,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AzureStrikerGunvolt,https://tvtropes.org/pmwiki/pmwiki.php/NeverRecycleYourSchemes/VideoGames,'Azure Striker Gunvolt':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AzureStrikerGunvolt'
Batman & Robin,https://tvtropes.org/pmwiki/pmwiki.php/Film/BatmanAndRobin,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes,'Batman & Robin':'https://tvtropes.org/pmwiki/pmwiki.php/Film/BatmanAndRobin'
Bayou Billy's,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/TheAdventuresOfBayouBilly,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes,'Bayou Billy's':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/TheAdventuresOfBayouBilly'
Beast Wars,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BeastWars,https://tvtropes.org/pmwiki/pmwiki.php/NeverRecycleYourSchemes/WesternAnimation,'Beast Wars':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BeastWars'
Bella Twins,https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/BellaTwins,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes,'Bella Twins':'https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/BellaTwins'
Blake's 7,https://tvtropes.org/pmwiki/pmwiki.php/Series/BlakesSeven,https://tvtropes.org/pmwiki/pmwiki.php/NeverRecycleYourSchemes/LiveActionTV,'Blake's 7':'https://tvtropes.org/pmwiki/pmwiki.php/Series/BlakesSeven'
Bobo Brazil,https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/BoboBrazil,https://tvtropes.org/pmwiki/pmwiki.php/NeverRecycleYourSchemes/AnimeAndManga,'Bobo Brazil':'https://tvtropes.org/pmwiki/pmwiki.php/Wrestling/BoboBrazil'
BoBoiBoy,https://tvtropes.org/pmwiki/pmwiki.php/Animation/BoBoiBoy,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes,'BoBoiBoy':'https://tvtropes.org/pmwiki/pmwiki.php/Animation/BoBoiBoy'
Buffy the Vampire Slayer,https://tvtropes.org/pmwiki/pmwiki.php/Series/BuffyTheVampireSlayer,https://tvtropes.org/pmwiki/pmwiki.php/NeverRecycleYourSchemes/LiveActionTV,'Buffy the Vampire Slayer':'https://tvtropes.org/pmwiki/pmwiki.php/Series/BuffyTheVampireSlayer'
Calvin and Hobbes,https://tvtropes.org/pmwiki/pmwiki.php/ComicStrip/CalvinAndHobbes,https://tvtropes.org/pmwiki/pmwiki.php/NeverRecycleYourSchemes/FanWorks,'Calvin and Hobbes':'https://tvtropes.org/pmwiki/pmwiki.php/ComicStrip/CalvinAndHobbes'
Captain N: The Game Master,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/CaptainNTheGameMaster,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes,'Captain N: The Game Master':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/CaptainNTheGameMaster'
Captain SNES: The Game Masta,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/CaptainSNES,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes,'Captain SNES: The Game Masta':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/CaptainSNES'
Catwoman: Hunted,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/CatwomanHunted,https://tvtropes.org/pmwiki/pmwiki.php/Main/NeverRecycleYourSchemes,'Catwoman: Hunted':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/CatwomanHunted'
