text,url,source_url
Birdy the Mighty,/pmwiki/pmwiki.php/Anime/BirdyTheMighty,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Please Teacher!,/pmwiki/pmwiki.php/Anime/PleaseTeacher,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Vandread,/pmwiki/pmwiki.php/Anime/Vandread,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Death Note,/pmwiki/pmwiki.php/Manga/DeathNote,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Urusei Yatsura,/pmwiki/pmwiki.php/Manga/UruseiYatsura,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Legion of Super-Heroes,/pmwiki/pmwiki.php/ComicBook/LegionOfSuperHeroes,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Vol 1,/pmwiki/pmwiki.php/ComicBook/WonderWoman1942,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Etta Candy,/pmwiki/pmwiki.php/ComicBook/EttaCandy,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
X-Wing Rogue Squadron,/pmwiki/pmwiki.php/ComicBook/XWingRogueSquadron,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Starfire,/pmwiki/pmwiki.php/ComicBook/Starfire,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Cat Planet Cuties,/pmwiki/pmwiki.php/Literature/CatPlanetCuties,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Hostess,/pmwiki/pmwiki.php/Literature/Hostess,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
The Planeteers,/pmwiki/pmwiki.php/Literature/ThePlaneteers,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
The Brain Pirates,/pmwiki/pmwiki.php/Literature/TheBrainPirates,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Chanur Novels,/pmwiki/pmwiki.php/Literature/ChanurNovels,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Foreigner (1994),/pmwiki/pmwiki.php/Literature/Foreigner1994,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Animorphs,/pmwiki/pmwiki.php/Literature/Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
The Cobra Trilogy,/pmwiki/pmwiki.php/Literature/TheCobraTrilogy,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Dragonriders of Pern,/pmwiki/pmwiki.php/Literature/DragonridersOfPern,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Duchy Of Terra,/pmwiki/pmwiki.php/Literature/DuchyOfTerra,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Godspeed,/pmwiki/pmwiki.php/Literature/Godspeed,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Hainish,/pmwiki/pmwiki.php/Literature/Hainish,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
The Left Hand of Darkness,/pmwiki/pmwiki.php/Literature/TheLeftHandOfDarkness,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Hayven Celestia,/pmwiki/pmwiki.php/Literature/HayvenCelestia,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Humanx Commonwealth,/pmwiki/pmwiki.php/Literature/HumanxCommonwealth,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Into the Looking Glass,/pmwiki/pmwiki.php/Literature/IntoTheLookingGlass,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Janitors of the Post-Apocalypse,/pmwiki/pmwiki.php/Literature/JanitorsOfThePostapocalypse,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Known Space,/pmwiki/pmwiki.php/Literature/KnownSpace,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
The Night's Dawn Trilogy,/pmwiki/pmwiki.php/Literature/TheNightsDawnTrilogy,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Old Man's War,/pmwiki/pmwiki.php/Literature/OldMansWar,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Prince Roger,/pmwiki/pmwiki.php/Literature/PrinceRoger,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Rama II,/pmwiki/pmwiki.php/Literature/RamaII,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Rod Allbright Alien Adventures,/pmwiki/pmwiki.php/Literature/RodAllbrightAlienAdventures,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Skylark Series,/pmwiki/pmwiki.php/Literature/SkylarkSeries,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
The Space Trilogy,/pmwiki/pmwiki.php/Literature/TheSpaceTrilogy,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
The Sparrow,/pmwiki/pmwiki.php/Literature/TheSparrow,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Star Wars: Canto Bight,/pmwiki/pmwiki.php/Literature/StarWarsCantoBight,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Jedi Apprentice,/pmwiki/pmwiki.php/Literature/JediApprentice,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Tales from the Mos Eisley Cantina,/pmwiki/pmwiki.php/Literature/TalesFromTheMosEisleyCantina,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
Tales from Jabba's Palace,/pmwiki/pmwiki.php/Literature/TalesFromJabbasPalace,https://tvtropes.org/pmwiki/pmwiki.php/NoBiochemicalBarriers/AlienFoodIsEdible
