text,url,source_url
DEATH BATTLE!,/pmwiki/pmwiki.php/WebAnimation/DeathBattle,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
Girl Chan In Paradise,/pmwiki/pmwiki.php/WebAnimation/GirlChanInParadise,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
RWBY,/pmwiki/pmwiki.php/WebAnimation/RWBY,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
Superman,/pmwiki/pmwiki.php/ComicBook/Superman,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
Scarlet Witch,/pmwiki/pmwiki.php/ComicBook/ScarletWitch,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
Zatanna,/pmwiki/pmwiki.php/ComicBook/Zatanna,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
The Battle of Magh Tuireadh,/pmwiki/pmwiki.php/Literature/TheBattleOfMaghTuireadh,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
The Bible,/pmwiki/pmwiki.php/Literature/TheBible,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
The Thebaid,/pmwiki/pmwiki.php/Literature/TheThebaid,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
Angel Notes,/pmwiki/pmwiki.php/Literature/AngelNotes,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
horrors,/pmwiki/pmwiki.php/Literature/FateZero,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
Fine Structure,/pmwiki/pmwiki.php/Literature/FineStructure,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
Lambda,/pmwiki/pmwiki.php/Literature/Lambda,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
Pilots,/pmwiki/pmwiki.php/Literature/Pilots,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
Whateley Universe,/pmwiki/pmwiki.php/Literature/WhateleyUniverse,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
Irish Mythology,/pmwiki/pmwiki.php/Myth/IrishMythology,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
Classical Mythology,/pmwiki/pmwiki.php/Myth/ClassicalMythology,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
The Adventure Zone: Balance,/pmwiki/pmwiki.php/Podcast/TheAdventureZoneBalance,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
The Police,/pmwiki/pmwiki.php/Music/ThePolice,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
SCP Foundation,/pmwiki/pmwiki.php/Website/SCPFoundation,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
Danganronpa: Trigger Happy Havoc,/pmwiki/pmwiki.php/VisualNovel/DanganronpaTriggerHappyHavoc,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
Hatoful Boyfriend,/pmwiki/pmwiki.php/VisualNovel/HatofulBoyfriend,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
Kajiri Kamui Kagura,/pmwiki/pmwiki.php/VisualNovel/KajiriKamuiKagura,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction
