text,url,source_url,concatenated
 Is This A Zombie?,https://tvtropes.org/pmwiki/pmwiki.php/Literature/IsThisAZombie,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/AnimeAndManga,' Is This A Zombie?':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/IsThisAZombie'
8-Bit Theater,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/EightBitTheater,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/Webcomics,'8-Bit Theater':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/EightBitTheater'
A Certain Magical Index,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/AnimeAndManga,'A Certain Magical Index':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex'
A Nightmare on Elm Street,https://tvtropes.org/pmwiki/pmwiki.php/Film/ANightmareOnElmStreet,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/Film,'A Nightmare on Elm Street':'https://tvtropes.org/pmwiki/pmwiki.php/Film/ANightmareOnElmStreet'
A Practical Guide to Evil,https://tvtropes.org/pmwiki/pmwiki.php/Literature/APracticalGuideToEvil,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/Literature,'A Practical Guide to Evil':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/APracticalGuideToEvil'
Adventure Time,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/WesternAnimation,'Adventure Time':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime'
Age of X-Man,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AgeOfXMan,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/ComicBooks,'Age of X-Man':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AgeOfXMan'
Agents of S.H.I.E.L.D.,https://tvtropes.org/pmwiki/pmwiki.php/Series/AgentsOfSHIELD,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/LiveActionTV,'Agents of S.H.I.E.L.D.':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AgentsOfSHIELD'
Ah! My Goddess,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AhMyGoddess,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/AnimeAndManga,'Ah! My Goddess':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/AhMyGoddess'
AKIRA,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Akira,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/AnimeAndManga,'AKIRA':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/Akira'
Aladdin,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Aladdin,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/Film,'Aladdin':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Aladdin'
Alex Mercer,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Prototype,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/TabletopGames,'Alex Mercer':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Prototype'
All The Skills - A Deckbuilding LitRPG,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AllTheSkillsADeckbuildingLitRPG,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/Literature,'All The Skills - A Deckbuilding LitRPG':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AllTheSkillsADeckbuildingLitRPG'
Alter A.I.L.A.,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AlterAILA,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/VideoGames,'Alter A.I.L.A.':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AlterAILA'
American Dad!,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AmericanDad,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/WesternAnimation,'American Dad!':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AmericanDad'
Anathema,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Anathema,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/TabletopGames,'Anathema':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Anathema'
Angel Notes,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AngelNotes,https://tvtropes.org/pmwiki/pmwiki.php/Main/PersonOfMassDestruction,'Angel Notes':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AngelNotes'
Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/Literature,'Animorphs':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs'
Apocalypse,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Apocalypse,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/ComicBooks,'Apocalypse':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Apocalypse'
Aquarion Logos,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AquarionLogos,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/AnimeAndManga,'Aquarion Logos':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/AquarionLogos'
Arc the Lad,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ArcTheLad,https://tvtropes.org/pmwiki/pmwiki.php/PersonOfMassDestruction/VideoGames,'Arc the Lad':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ArcTheLad'
