title,url
Last Exile,https://tvtropes.org/pmwiki/pmwiki.php/Anime/LastExile
Simoun,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Simoun
The Vision of Escaflowne,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheVisionOfEscaflowne
Advent Children,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AdventChildren
Fantastic Planet,https://tvtropes.org/pmwiki/pmwiki.php/Animation/FantasticPlanet
Artifexian,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/Artifexian
ARIA,https://tvtropes.org/pmwiki/pmwiki.php/Manga/ARIA
Trigun,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Trigun
Den,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Den
The Incredible Hulk,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheIncredibleHulk
Planet Hulk,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/PlanetHulk
World War Hulk,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/WorldWarHulk
The Magnificent Ms. Marvel,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheMagnificentMsMarvel
Starlight,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Starlight
Superman,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Superman
Supergirl,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Supergirl
Legion of Super-Heroes,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/LegionOfSuperHeroes
The Krypton Chronicles,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheKryptonChronicles
World of Krypton,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/WorldOfKrypton
Superman/Supergirl: Maelstrom,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/SupermanSupergirlMaelstrom
The Condemned Legionnaires,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheCondemnedLegionnaires
Red Daughter of Krypton,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/RedDaughterOfKrypton
The Warlord (DC),https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheWarlordDC
Warlord of Mars,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/WarlordOfMars
X-Men,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/XMen
Excalibur,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Excalibur
Flash Gordon,https://tvtropes.org/pmwiki/pmwiki.php/ComicStrip/FlashGordon
John Carter of Mars,https://tvtropes.org/pmwiki/pmwiki.php/Literature/JohnCarterOfMars
Dying Earth,https://tvtropes.org/pmwiki/pmwiki.php/Literature/DyingEarth
Pellucidar,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Pellucidar
John Carter of Mars,https://tvtropes.org/pmwiki/pmwiki.php/Literature/JohnCarterOfMars
A Princess of Mars,https://tvtropes.org/pmwiki/pmwiki.php/Literature/APrincessOfMars
John Carter of Mars,https://tvtropes.org/pmwiki/pmwiki.php/Literature/JohnCarterOfMars
The Adventures of Tom Rynosseros,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheAdventuresOfTomRynosseros
Big Planet,https://tvtropes.org/pmwiki/pmwiki.php/Literature/BigPlanet
The Book Of Ptath,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheBookOfPtath
Coyote,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Coyote
The Diadem Saga,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheDiademSaga
Darkover,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Darkover
Dragonriders of Pern,https://tvtropes.org/pmwiki/pmwiki.php/Literature/DragonridersOfPern
Dune,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Dune
Dying Earth,https://tvtropes.org/pmwiki/pmwiki.php/Literature/DyingEarth
Helliconia,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Helliconia
That Irresistible Poison,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ThatIrresistiblePoison
Planet of Adventure,https://tvtropes.org/pmwiki/pmwiki.php/Literature/PlanetOfAdventure
The Left Hand of Darkness,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheLeftHandOfDarkness
Rocannon's World,https://tvtropes.org/pmwiki/pmwiki.php/Literature/RocannonsWorld
The Last Guardian (2001),https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheLastGuardian2001
The Lords of Creation,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheLordsOfCreation
Lumbanico The Cubic Planet,https://tvtropes.org/pmwiki/pmwiki.php/Literature/LumbanicoTheCubicPlanet
Novels of the Jaran,https://tvtropes.org/pmwiki/pmwiki.php/Literature/NovelsOfTheJaran
Orthe,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Orthe
The Space Trilogy,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheSpaceTrilogy
Out of the Silent Planet,https://tvtropes.org/pmwiki/pmwiki.php/Literature/OutOfTheSilentPlanet
Perelandra,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Perelandra
That Hideous Strength,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ThatHideousStrength
