text,url,source_url
DEATH BATTLE!,/pmwiki/pmwiki.php/WebAnimation/DeathBattle,https://tvtropes.org/pmwiki/pmwiki.php/Main/RealityWarper
Saitama,/pmwiki/pmwiki.php/Manga/OnePunchMan,https://tvtropes.org/pmwiki/pmwiki.php/Main/RealityWarper
Popeye,/pmwiki/pmwiki.php/ComicStrip/Popeye,https://tvtropes.org/pmwiki/pmwiki.php/Main/RealityWarper
The Elysium Project,/pmwiki/pmwiki.php/AudioPlay/TheElysiumProject,https://tvtropes.org/pmwiki/pmwiki.php/Main/RealityWarper
Sequinox,/pmwiki/pmwiki.php/Podcast/Sequinox,https://tvtropes.org/pmwiki/pmwiki.php/Main/RealityWarper
Master of Reality,/pmwiki/pmwiki.php/Music/MasterOfReality,https://tvtropes.org/pmwiki/pmwiki.php/Main/RealityWarper
Black Sabbath,/pmwiki/pmwiki.php/Music/BlackSabbath,https://tvtropes.org/pmwiki/pmwiki.php/Main/RealityWarper
The Most Interesting Man in the World,/pmwiki/pmwiki.php/Advertising/TheMostInterestingManInTheWorld,https://tvtropes.org/pmwiki/pmwiki.php/Main/RealityWarper
The Dungeonmaster,/pmwiki/pmwiki.php/Film/TheDungeonmaster,https://tvtropes.org/pmwiki/pmwiki.php/Main/RealityWarper
Gunnerkrigg Court,/pmwiki/pmwiki.php/Webcomic/GunnerkriggCourt,https://tvtropes.org/pmwiki/pmwiki.php/Main/RealityWarper
Homestuck,/pmwiki/pmwiki.php/Webcomic/Homestuck,https://tvtropes.org/pmwiki/pmwiki.php/Main/RealityWarper
SCP Foundation,/pmwiki/pmwiki.php/Website/SCPFoundation,https://tvtropes.org/pmwiki/pmwiki.php/Main/RealityWarper
,/pmwiki/pmwiki.php/TabletopGame/MageTheAwakening,https://tvtropes.org/pmwiki/pmwiki.php/Main/RealityWarper
Mage: The Awakening,/pmwiki/pmwiki.php/TabletopGame/MageTheAwakening,https://tvtropes.org/pmwiki/pmwiki.php/Main/RealityWarper
Vampire: The Requiem,/pmwiki/pmwiki.php/TabletopGame/VampireTheRequiem,https://tvtropes.org/pmwiki/pmwiki.php/Main/RealityWarper
Aquarion Logos,/pmwiki/pmwiki.php/Anime/AquarionLogos,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Ayakashi Ayashi,/pmwiki/pmwiki.php/Anime/AyakashiAyashi,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Black★Rock Shooter,/pmwiki/pmwiki.php/Anime/BlackRockShooter,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Code Geass,/pmwiki/pmwiki.php/Anime/CodeGeass,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Da Capo,/pmwiki/pmwiki.php/Anime/DaCapo,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Doraemon: Nobita's Great Adventure into the Underworld,/pmwiki/pmwiki.php/Anime/DoraemonNobitasGreatAdventureIntoTheUnderworld,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Dragon Ball Z,/pmwiki/pmwiki.php/Anime/DragonBallZ,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Eureka Seven,/pmwiki/pmwiki.php/Anime/EurekaSeven,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
GunBuster,/pmwiki/pmwiki.php/Anime/GunBuster,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Haré+Guu,/pmwiki/pmwiki.php/Anime/HareGuu,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Hell Girl,/pmwiki/pmwiki.php/Anime/HellGirl,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Magical Shopping Arcade Abenobashi,/pmwiki/pmwiki.php/Anime/MagicalShoppingArcadeAbenobashi,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Neon Genesis Evangelion,/pmwiki/pmwiki.php/Anime/NeonGenesisEvangelion,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Noein,/pmwiki/pmwiki.php/Anime/Noein,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Pokémon: The Series,/pmwiki/pmwiki.php/Anime/PokemonTheSeries,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Pokémon 3,/pmwiki/pmwiki.php/Anime/Pokemon3,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Princess Tutu,/pmwiki/pmwiki.php/Anime/PrincessTutu,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Puella Magi Madoka Magica,/pmwiki/pmwiki.php/Anime/PuellaMagiMadokaMagica,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Rebellion,/pmwiki/pmwiki.php/Anime/PuellaMagiMadokaMagicaTheMovieRebellion,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
RahXephon,/pmwiki/pmwiki.php/Anime/RahXephon,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Re:CREATORS,/pmwiki/pmwiki.php/Anime/ReCreators,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Serial Experiments Lain,/pmwiki/pmwiki.php/Anime/SerialExperimentsLain,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Tengen Toppa Gurren Lagann,/pmwiki/pmwiki.php/Anime/TengenToppaGurrenLagann,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
The Vision of Escaflowne,/pmwiki/pmwiki.php/Anime/TheVisionOfEscaflowne,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Yu-Gi-Oh! 5Ds,/pmwiki/pmwiki.php/Anime/YuGiOh5Ds,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Yu-Gi-Oh! ZEXAL,/pmwiki/pmwiki.php/Anime/YuGiOhZEXAL,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Yu-Gi-Oh! ARC-V,/pmwiki/pmwiki.php/Anime/YuGIOhArcV,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Berserk,/pmwiki/pmwiki.php/Manga/Berserk,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Bleach,/pmwiki/pmwiki.php/Manga/Bleach,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
The Disastrous Life of Saiki K.,/pmwiki/pmwiki.php/Manga/TheDisastrousLifeOfSaikiK,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Doraemon,/pmwiki/pmwiki.php/Manga/Doraemon,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Dorohedoro,/pmwiki/pmwiki.php/Manga/Dorohedoro,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Fairy Tail,/pmwiki/pmwiki.php/Manga/FairyTail,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Hunter × Hunter,/pmwiki/pmwiki.php/Manga/HunterXHunter,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
JoJo's Bizarre Adventure,/pmwiki/pmwiki.php/Manga/JoJosBizarreAdventure,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Stardust Crusaders,/pmwiki/pmwiki.php/Manga/JoJosBizarreAdventureStardustCrusaders,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Golden Wind,/pmwiki/pmwiki.php/Manga/JoJosBizarreAdventureGoldenWind,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
Stone Ocean,/pmwiki/pmwiki.php/Manga/JoJosBizarreAdventureStoneOcean,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
JoJolion,/pmwiki/pmwiki.php/Manga/JoJosBizarreAdventureJoJolion,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/AnimeAndManga
