text,url,source_url,concatenated
976-EVIL,https://tvtropes.org/pmwiki/pmwiki.php/Film/NineSevenSixEvil,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/Film,'976-EVIL':'https://tvtropes.org/pmwiki/pmwiki.php/Film/NineSevenSixEvil'
A Beginner's Guide to the End of the Universe,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/ABeginnersGuideToTheEndOfTheUniverse,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/Webcomics,'A Beginner's Guide to the End of the Universe':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/ABeginnersGuideToTheEndOfTheUniverse'
A Certain Magical Index,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/Literature,'A Certain Magical Index':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex'
Aberrant,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Aberrant,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/TabletopGames,'Aberrant':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Aberrant'
Absolutely Anything,https://tvtropes.org/pmwiki/pmwiki.php/Film/AbsolutelyAnything,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/Film,'Absolutely Anything':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AbsolutelyAnything'
Adam Ruins Everything,https://tvtropes.org/pmwiki/pmwiki.php/Series/AdamRuinsEverything,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/LiveActionTV,'Adam Ruins Everything':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AdamRuinsEverything'
ADOM,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ADOM,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/VideoGames,'ADOM':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ADOM'
Adventure Time,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/WesternAnimation,'Adventure Time':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime'
Aladdin,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Aladdin,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/Film,'Aladdin':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Aladdin'
Aladdin: The Return of Jafar,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AladdinTheReturnOfJafar,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/Film,'Aladdin: The Return of Jafar':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AladdinTheReturnOfJafar'
Alan Wake,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AlanWake,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/VideoGames,'Alan Wake':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AlanWake'
Alice in Wonderland,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AliceInWonderland,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/FanWorks,'Alice in Wonderland':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AliceInWonderland'
Alice's Adventures in Wonderland,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AlicesAdventuresInWonderland,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/Literature,'Alice's Adventures in Wonderland':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AlicesAdventuresInWonderland'
All Dogs Go to Heaven,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AllDogsGoToHeaven,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/WesternAnimation,'All Dogs Go to Heaven':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AllDogsGoToHeaven'
American Dad!,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AmericanDad,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/WesternAnimation,'American Dad!':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AmericanDad'
Anathem,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Anathem,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/Literature,'Anathem':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Anathem'
Angel,https://tvtropes.org/pmwiki/pmwiki.php/Series/Angel,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/LiveActionTV,'Angel':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Angel'
Angel Notes,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AngelNotes,https://tvtropes.org/pmwiki/pmwiki.php/RealityWarper/VisualNovels,'Angel Notes':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AngelNotes'
