text,url,source_url,concatenated
1984,https://tvtropes.org/pmwiki/pmwiki.php/Film/WonderWoman1984,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Film,'1984':'https://tvtropes.org/pmwiki/pmwiki.php/Film/WonderWoman1984'
2015,https://tvtropes.org/pmwiki/pmwiki.php/Film/BatmanVSupermanDawnOfJustice,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Film,'2015':'https://tvtropes.org/pmwiki/pmwiki.php/Film/BatmanVSupermanDawnOfJustice'
" Love, Chunibyo & Other Delusions!",https://tvtropes.org/pmwiki/pmwiki.php/Literature/LoveChunibyoAndOtherDelusions,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/AnimeAndManga,"' Love, Chunibyo & Other Delusions!':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/LoveChunibyoAndOtherDelusions'"
100% Orange Juice!,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/OneHundredPercentOrangeJuice,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/VideoGames,'100% Orange Juice!':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/OneHundredPercentOrangeJuice'
11eyes,https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/ElevenEyes,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/AnimeAndManga,'11eyes':'https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/ElevenEyes'
30 Rock,https://tvtropes.org/pmwiki/pmwiki.php/Series/ThirtyRock,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/LiveActionTV,'30 Rock':'https://tvtropes.org/pmwiki/pmwiki.php/Series/ThirtyRock'
3rd Rock from the Sun,https://tvtropes.org/pmwiki/pmwiki.php/Series/ThirdRockFromTheSun,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/LiveActionTV,'3rd Rock from the Sun':'https://tvtropes.org/pmwiki/pmwiki.php/Series/ThirdRockFromTheSun'
6000+ years old,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheEpicOfGilgamesh,https://tvtropes.org/pmwiki/pmwiki.php/Main/ReallySevenHundredYearsOld,'6000+ years old':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheEpicOfGilgamesh'
7 Faces of Dr. Lao,https://tvtropes.org/pmwiki/pmwiki.php/Film/SevenFacesOfDrLao,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Film,'7 Faces of Dr. Lao':'https://tvtropes.org/pmwiki/pmwiki.php/Film/SevenFacesOfDrLao'
8-Bit Theater,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/EightBitTheater,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Webcomics,'8-Bit Theater':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/EightBitTheater'
A Court of Thorns and Roses,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACourtOfThornsAndRoses,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Literature,'A Court of Thorns and Roses':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACourtOfThornsAndRoses'
A Cure for Wellness,https://tvtropes.org/pmwiki/pmwiki.php/Film/ACureForWellness,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Film,'A Cure for Wellness':'https://tvtropes.org/pmwiki/pmwiki.php/Film/ACureForWellness'
A Dance with Dragons,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ADanceWithDragons,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Literature,'A Dance with Dragons':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ADanceWithDragons'
A Discovery of Witches,https://tvtropes.org/pmwiki/pmwiki.php/Series/ADiscoveryOfWitches,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/LiveActionTV,'A Discovery of Witches':'https://tvtropes.org/pmwiki/pmwiki.php/Series/ADiscoveryOfWitches'
A Dowry of Blood,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ADowryOfBlood,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Literature,'A Dowry of Blood':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ADowryOfBlood'
A New Hope,https://tvtropes.org/pmwiki/pmwiki.php/Film/ANewHope,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Film,'A New Hope':'https://tvtropes.org/pmwiki/pmwiki.php/Film/ANewHope'
A Night in the Lonesome October,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ANightInTheLonesomeOctober,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Literature,'A Night in the Lonesome October':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ANightInTheLonesomeOctober'
A Song of Ice and Fire,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASongOfIceAndFire,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Literature,'A Song of Ice and Fire':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASongOfIceAndFire'
A World Out of Time,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AWorldOutOfTime,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Literature,'A World Out of Time':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AWorldOutOfTime'
A Wrinkle in Time,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AWrinkleInTime,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Literature,'A Wrinkle in Time':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AWrinkleInTime'
Aaahh!!! Real Monsters,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AaahhRealMonsters,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/WesternAnimation,'Aaahh!!! Real Monsters':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AaahhRealMonsters'
Adventure Time,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/WesternAnimation,'Adventure Time':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime'
Aeon Legion: Labyrinth,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AeonLegionLabyrinth,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Literature,'Aeon Legion: Labyrinth':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AeonLegionLabyrinth'
Akai Ito,https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/AkaiIto,https://tvtropes.org/pmwiki/pmwiki.php/Main/ReallySevenHundredYearsOld,'Akai Ito':'https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/AkaiIto'
Akashic Records of Bastard Magic Instructor,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AkashicRecordsOfBastardMagicInstructor,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/AnimeAndManga,'Akashic Records of Bastard Magic Instructor':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AkashicRecordsOfBastardMagicInstructor'
Alice and the Nightmare,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AliceAndTheNightmare,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Webcomics,'Alice and the Nightmare':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AliceAndTheNightmare'
Alice Grove,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AliceGrove,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Webcomics,'Alice Grove':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AliceGrove'
Alliance/Union,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AllianceUnion,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Literature,'Alliance/Union':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AllianceUnion'
Alphas,https://tvtropes.org/pmwiki/pmwiki.php/Series/Alphas,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/LiveActionTV,'Alphas':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Alphas'
American remake,https://tvtropes.org/pmwiki/pmwiki.php/Series/BeingHumanUS,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/LiveActionTV,'American remake':'https://tvtropes.org/pmwiki/pmwiki.php/Series/BeingHumanUS'
Amnesia: The Dark Descent,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AmnesiaTheDarkDescent,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/VideoGames,'Amnesia: The Dark Descent':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AmnesiaTheDarkDescent'
An Angel for Christmas,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AnAngelForChristmas,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Film,'An Angel for Christmas':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AnAngelForChristmas'
Anathem,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Anathem,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Literature,'Anathem':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Anathem'
Angel,https://tvtropes.org/pmwiki/pmwiki.php/Series/Angel,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/LiveActionTV,'Angel':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Angel'
Angel Catbird,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AngelCatbird,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/ComicBooks,'Angel Catbird':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AngelCatbird'
Aoi Shiro,https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/AoiShiro,https://tvtropes.org/pmwiki/pmwiki.php/Main/ReallySevenHundredYearsOld,'Aoi Shiro':'https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/AoiShiro'
Aqua Teen Hunger Force,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AquaTeenHungerForce,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/WesternAnimation,'Aqua Teen Hunger Force':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AquaTeenHungerForce'
Ar tonelico II: Melody of Metafalica,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ArTonelicoIIMelodyOfMetafalica,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/VideoGames,'Ar tonelico II: Melody of Metafalica':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ArTonelicoIIMelodyOfMetafalica'
Ar tonelico: Melody of Elemia,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ArTonelicoMelodyOfElemia,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/VideoGames,'Ar tonelico: Melody of Elemia':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ArTonelicoMelodyOfElemia'
Arata: The Legend,https://tvtropes.org/pmwiki/pmwiki.php/Manga/ArataTheLegend,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/AnimeAndManga,'Arata: The Legend':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/ArataTheLegend'
Archer's Goon,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ArchersGoon,https://tvtropes.org/pmwiki/pmwiki.php/ReallySevenHundredYearsOld/Literature,'Archer's Goon':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ArchersGoon'
