text,url,source_url
Happy Heroes,/pmwiki/pmwiki.php/Animation/HappyHeroes,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
My Beloved Mother,/pmwiki/pmwiki.php/Manhua/MyBelovedMother,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
Metal Heart,/pmwiki/pmwiki.php/Manhwa/MetalHeart,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
,/pmwiki/pmwiki.php/Literature/HandOfMars,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
Minds,/pmwiki/pmwiki.php/Literature/TheCulture,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
R.U.R.,/pmwiki/pmwiki.php/Theatre/RUR,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
Janelle Monáe,/pmwiki/pmwiki.php/Music/JanelleMonae,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
The Protomen,/pmwiki/pmwiki.php/Music/TheProtomen,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
Wait...,/pmwiki/pmwiki.php/Music/Styx,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
Doctor Steel,/pmwiki/pmwiki.php/Music/DoctorSteel,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
Vocaloid,/pmwiki/pmwiki.php/Music/Vocaloid,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
The Aquabats!,/pmwiki/pmwiki.php/Music/TheAquabats,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
Steam Powered Giraffe,/pmwiki/pmwiki.php/Music/SteamPoweredGiraffe,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
Poets of the Fall,/pmwiki/pmwiki.php/Music/PoetsOfTheFall,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
,/pmwiki/pmwiki.php/WesternAnimation/Futurama,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
Dungeons & Dragons,/pmwiki/pmwiki.php/TabletopGame/DungeonsAndDragons,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
Eberron,/pmwiki/pmwiki.php/TabletopGame/Eberron,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
Pathfinder,/pmwiki/pmwiki.php/TabletopGame/Pathfinder,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
Starfinder,/pmwiki/pmwiki.php/TabletopGame/Starfinder,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
New Horizon,/pmwiki/pmwiki.php/TabletopGame/NewHorizon,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
Promethean: The Created,/pmwiki/pmwiki.php/TabletopGame/PrometheanTheCreated,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
Odd Squad,/pmwiki/pmwiki.php/Series/OddSquad,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
Persona 3,/pmwiki/pmwiki.php/VideoGame/Persona3,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
Dwarf Fortress,/pmwiki/pmwiki.php/VideoGame/DwarfFortress,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
trying to turn all matter in the Universe into paperclips,/pmwiki/pmwiki.php/VideoGame/UniversalPaperclips,https://tvtropes.org/pmwiki/pmwiki.php/Main/RidiculouslyHumanRobots
All Purpose Cultural Catgirl Nuku Nuku,/pmwiki/pmwiki.php/Anime/AllPurposeCulturalCatgirlNukuNuku,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/AnimeAndManga
