text,url,source_url,concatenated
3,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/TheSims3,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/VideoGames,'3':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/TheSims3'
2001: A Space Odyssey,https://tvtropes.org/pmwiki/pmwiki.php/Film/TwoThousandOneASpaceOdyssey,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Film,'2001: A Space Odyssey':'https://tvtropes.org/pmwiki/pmwiki.php/Film/TwoThousandOneASpaceOdyssey'
53 years later,https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/DaCapoII,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/VideoGames,'53 years later':'https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/DaCapoII'
8-Bit Theater,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/EightBitTheater,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Webcomics,'8-Bit Theater':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/EightBitTheater'
A.I.: Artificial Intelligence,https://tvtropes.org/pmwiki/pmwiki.php/Film/AIArtificialIntelligence,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Film,'A.I.: Artificial Intelligence':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AIArtificialIntelligence'
Achewood,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Achewood,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Webcomics,'Achewood':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Achewood'
Advance,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/SuperRobotWarsAdvance,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/VideoGames,'Advance':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/SuperRobotWarsAdvance'
Agent G,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AgentG,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Literature,'Agent G':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AgentG'
Agents of S.H.I.E.L.D.,https://tvtropes.org/pmwiki/pmwiki.php/Series/AgentsOfSHIELD,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/LiveActionTV,'Agents of S.H.I.E.L.D.':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AgentsOfSHIELD'
All Purpose Cultural Catgirl Nuku Nuku,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AllPurposeCulturalCatgirlNukuNuku,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/AnimeAndManga,'All Purpose Cultural Catgirl Nuku Nuku':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/AllPurposeCulturalCatgirlNukuNuku'
Almost Human,https://tvtropes.org/pmwiki/pmwiki.php/Series/AlmostHuman,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/LiveActionTV,'Almost Human':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AlmostHuman'
Analee Call,https://tvtropes.org/pmwiki/pmwiki.php/Film/AlienResurrection,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Film,'Analee Call':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AlienResurrection'
Android 16,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DragonBallZ,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/AnimeAndManga,'Android 16':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/DragonBallZ'
Android 8,https://tvtropes.org/pmwiki/pmwiki.php/Manga/DragonBall,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/AnimeAndManga,'Android 8':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/DragonBall'
Android Kikaider: The Animation,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AndroidKikaiderTheAnimation,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/AnimeAndManga,'Android Kikaider: The Animation':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/AndroidKikaiderTheAnimation'
Andromeda,https://tvtropes.org/pmwiki/pmwiki.php/Series/Andromeda,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/LiveActionTV,'Andromeda':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Andromeda'
Argo,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Argo,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Literature,'Argo':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Argo'
Armitage III,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ArmitageIII,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/AnimeAndManga,'Armitage III':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/ArmitageIII'
Artery Gear: Fusion,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ArteryGearFusion,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/VideoGames,'Artery Gear: Fusion':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ArteryGearFusion'
Aschen Brödel,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/EndlessFrontier,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/VideoGames,'Aschen Brödel':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/EndlessFrontier'
Astro Boy,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AstroBoy,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/AnimeAndManga,'Astro Boy':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/AstroBoy'
Asura's Wrath,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AsurasWrath,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/VideoGames,'Asura's Wrath':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AsurasWrath'
Atop the Fourth Wall,https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/AtopTheFourthWall,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/WebOriginal,'Atop the Fourth Wall':'https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/AtopTheFourthWall'
Avengers: Age of Ultron,https://tvtropes.org/pmwiki/pmwiki.php/Film/AvengersAgeOfUltron,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Film,'Avengers: Age of Ultron':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AvengersAgeOfUltron'
Avengers: Infinity War,https://tvtropes.org/pmwiki/pmwiki.php/Film/AvengersInfinityWar,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Film,'Avengers: Infinity War':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AvengersInfinityWar'
Ayuri,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Ayuri,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Webcomics,'Ayuri':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Ayuri'
Azran Legacy,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ProfessorLaytonAndTheAzranLegacy,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/VideoGames,'Azran Legacy':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ProfessorLaytonAndTheAzranLegacy'
Batman Beyond,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BatmanBeyond,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/WesternAnimation,'Batman Beyond':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BatmanBeyond'
Batman: The Animated Series,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BatmanTheAnimatedSeries,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/WesternAnimation,'Batman: The Animated Series':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BatmanTheAnimatedSeries'
Battlestar Galactica (2003),https://tvtropes.org/pmwiki/pmwiki.php/Series/BattlestarGalactica2003,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/LiveActionTV,'Battlestar Galactica (2003)':'https://tvtropes.org/pmwiki/pmwiki.php/Series/BattlestarGalactica2003'
Bee and Puppycat,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/BeeAndPuppycat,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/WebOriginal,'Bee and Puppycat':'https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/BeeAndPuppycat'
Berserker,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Berserker,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Literature,'Berserker':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Berserker'
Bicentennial Man,https://tvtropes.org/pmwiki/pmwiki.php/Film/BicentennialMan,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Film,'Bicentennial Man':'https://tvtropes.org/pmwiki/pmwiki.php/Film/BicentennialMan'
Big Hero 6,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BigHero6,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Film,'Big Hero 6':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BigHero6'
Binary Domain,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BinaryDomain,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/VideoGames,'Binary Domain':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BinaryDomain'
Bishop,https://tvtropes.org/pmwiki/pmwiki.php/Film/Aliens,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Film,'Bishop':'https://tvtropes.org/pmwiki/pmwiki.php/Film/Aliens'
Black Cougar,https://tvtropes.org/pmwiki/pmwiki.php/Film/BlackCougar,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Film,'Black Cougar':'https://tvtropes.org/pmwiki/pmwiki.php/Film/BlackCougar'
Black Magic M-66,https://tvtropes.org/pmwiki/pmwiki.php/Manga/BlackMagicM66,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/AnimeAndManga,'Black Magic M-66':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/BlackMagicM66'
Black Mirror,https://tvtropes.org/pmwiki/pmwiki.php/Series/BlackMirror,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/LiveActionTV,'Black Mirror':'https://tvtropes.org/pmwiki/pmwiki.php/Series/BlackMirror'
Blackarachnia and Silverbolt's,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BeastWars,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/WesternAnimation,'Blackarachnia and Silverbolt's':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BeastWars'
Blade Runner,https://tvtropes.org/pmwiki/pmwiki.php/Film/BladeRunner,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Film,'Blade Runner':'https://tvtropes.org/pmwiki/pmwiki.php/Film/BladeRunner'
Blade Runner,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BladeRunner,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/VideoGames,'Blade Runner':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BladeRunner'
Bob and George,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/BobAndGeorge,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Webcomics,'Bob and George':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/BobAndGeorge'
Bolo,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Bolo,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Literature,'Bolo':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Bolo'
Booster Gold,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/BoosterGold,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/ComicBooks,'Booster Gold':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/BoosterGold'
Borderlands,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Borderlands,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/VideoGames,'Borderlands':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Borderlands'
Borderlands 3,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Borderlands3,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/VideoGames,'Borderlands 3':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Borderlands3'
Bubblegum Crisis,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BubblegumCrisis,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/AnimeAndManga,'Bubblegum Crisis':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/BubblegumCrisis'
Buck Rogers in the 25th Century,https://tvtropes.org/pmwiki/pmwiki.php/Series/BuckRogersInTheTwentyFifthCentury,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/LiveActionTV,'Buck Rogers in the 25th Century':'https://tvtropes.org/pmwiki/pmwiki.php/Series/BuckRogersInTheTwentyFifthCentury'
Buffy the Vampire Slayer,https://tvtropes.org/pmwiki/pmwiki.php/Series/BuffyTheVampireSlayer,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/LiveActionTV,'Buffy the Vampire Slayer':'https://tvtropes.org/pmwiki/pmwiki.php/Series/BuffyTheVampireSlayer'
Caprica,https://tvtropes.org/pmwiki/pmwiki.php/Series/Caprica,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/LiveActionTV,'Caprica':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Caprica'
Cassandra Kresnov,https://tvtropes.org/pmwiki/pmwiki.php/Literature/CassandraKresnov,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Literature,'Cassandra Kresnov':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/CassandraKresnov'
Casshern Sins,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CasshernSins,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/AnimeAndManga,'Casshern Sins':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/CasshernSins'
Castoff,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Castoff,https://tvtropes.org/pmwiki/pmwiki.php/RidiculouslyHumanRobots/Webcomics,'Castoff':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Castoff'
