text,url,source_url
Astro Boy,/pmwiki/pmwiki.php/Anime/AstroBoy,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Voltron,/pmwiki/pmwiki.php/Anime/Voltron,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Battle of the Planets,/pmwiki/pmwiki.php/Anime/BattleOfThePlanets,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Space Battleship Yamato,/pmwiki/pmwiki.php/Anime/SpaceBattleshipYamato,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Doctor Slump,/pmwiki/pmwiki.php/Manga/DoctorSlump,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
The Five Star Stories,/pmwiki/pmwiki.php/Manga/TheFiveStarStories,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Dragon Half,/pmwiki/pmwiki.php/Manga/DragonHalf,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
New Avengers,/pmwiki/pmwiki.php/ComicBook/NewAvengers,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Iron Man,/pmwiki/pmwiki.php/ComicBook/IronMan,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
ElfQuest,/pmwiki/pmwiki.php/ComicBook/ElfQuest,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Quasar,/pmwiki/pmwiki.php/ComicBook/Quasar,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Starman,/pmwiki/pmwiki.php/ComicBook/Starman,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Gold Digger,/pmwiki/pmwiki.php/ComicBook/GoldDigger,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Green Lantern,/pmwiki/pmwiki.php/ComicBook/GreenLantern,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Secret Wars (1984),/pmwiki/pmwiki.php/ComicBook/SecretWars1984,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Paperinik New Adventures,/pmwiki/pmwiki.php/ComicBook/PaperinikNewAdventures,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Valérian,/pmwiki/pmwiki.php/ComicBook/Valerian,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Superman,/pmwiki/pmwiki.php/ComicBook/Superman,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Superman: Secret Identity,/pmwiki/pmwiki.php/ComicBook/SupermanSecretIdentity,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Supergirl,/pmwiki/pmwiki.php/ComicBook/Supergirl,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
The Super Steed Of Steel,/pmwiki/pmwiki.php/ComicBook/TheSuperSteedOfSteel,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
INVADERS of the ROKUJYOUMA!?,/pmwiki/pmwiki.php/Literature/InvadersOfTheRokujyouma,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
A Song of Ice and Fire,/pmwiki/pmwiki.php/Literature/ASongOfIceAndFire,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
The Tamuli,/pmwiki/pmwiki.php/Literature/TheTamuli,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Planet Pirates,/pmwiki/pmwiki.php/Literature/PlanetPirates,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Dragonriders of Pern,/pmwiki/pmwiki.php/Literature/DragonridersOfPern,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Sector General,/pmwiki/pmwiki.php/Literature/SectorGeneral,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
"20,000 Leagues Under the Sea",/pmwiki/pmwiki.php/Literature/TwentyThousandLeaguesUnderTheSea,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Belisarius Series,/pmwiki/pmwiki.php/Literature/BelisariusSeries,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Humanx Commonwealth,/pmwiki/pmwiki.php/Literature/HumanxCommonwealth,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
The Thrawn Trilogy,/pmwiki/pmwiki.php/Literature/TheThrawnTrilogy,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
The New Rebellion,/pmwiki/pmwiki.php/Literature/TheNewRebellion,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Darksaber,/pmwiki/pmwiki.php/Literature/TheCallistaTrilogy,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
New Jedi Order,/pmwiki/pmwiki.php/Literature/NewJediOrder,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Splinter of the Mind's Eye,/pmwiki/pmwiki.php/Literature/SplinterOfTheMindsEye,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Honor Harrington,/pmwiki/pmwiki.php/Literature/HonorHarrington,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Safehold,/pmwiki/pmwiki.php/Literature/Safehold,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Ringworld,/pmwiki/pmwiki.php/Literature/Ringworld,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Protector,/pmwiki/pmwiki.php/Literature/Protector,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Inheritance Cycle,/pmwiki/pmwiki.php/Literature/InheritanceCycle,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Sirantha Jax series,/pmwiki/pmwiki.php/Literature/TheSiranthaJaxSeries,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
The Flight of the Eisenstein,/pmwiki/pmwiki.php/Literature/HorusHeresy,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Animorphs,/pmwiki/pmwiki.php/Literature/Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Encyclopedia Brown,/pmwiki/pmwiki.php/Literature/EncyclopediaBrown,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
The Lost Fleet,/pmwiki/pmwiki.php/Literature/TheLostFleet,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
I Am Number Four,/pmwiki/pmwiki.php/Literature/IAmNumberFour,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Wolfheart,/pmwiki/pmwiki.php/Literature/Wolfheart,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
Ancillary Justice,/pmwiki/pmwiki.php/Literature/AncillaryJustice,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance
