text,url,source_url,concatenated
"20,000 Leagues Under the Sea",https://tvtropes.org/pmwiki/pmwiki.php/Literature/TwentyThousandLeaguesUnderTheSea,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance,"'20,000 Leagues Under the Sea':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/TwentyThousandLeaguesUnderTheSea'"
7 Days a Skeptic,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ChzoMythos,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance,'7 Days a Skeptic':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ChzoMythos'
A Certain Magical Index,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfEnergy,'A Certain Magical Index':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex'
A New Hope,https://tvtropes.org/pmwiki/pmwiki.php/Film/ANewHope,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfTime,'A New Hope':'https://tvtropes.org/pmwiki/pmwiki.php/Film/ANewHope'
A Song of Ice and Fire,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASongOfIceAndFire,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance,'A Song of Ice and Fire':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASongOfIceAndFire'
Ad Astra,https://tvtropes.org/pmwiki/pmwiki.php/Film/AdAstra,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance,'Ad Astra':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AdAstra'
Alien³,https://tvtropes.org/pmwiki/pmwiki.php/Film/Alien3,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfMass,'Alien³':'https://tvtropes.org/pmwiki/pmwiki.php/Film/Alien3'
Almost Human,https://tvtropes.org/pmwiki/pmwiki.php/Series/AlmostHuman,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance,'Almost Human':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AlmostHuman'
Ancillary Justice,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AncillaryJustice,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance,'Ancillary Justice':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AncillaryJustice'
Aniara,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Aniara,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance,'Aniara':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Aniara'
Anima: Beyond Fantasy,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/AnimaBeyondFantasy,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfMass,'Anima: Beyond Fantasy':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/AnimaBeyondFantasy'
Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance,'Animorphs':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs'
Another Life (2019),https://tvtropes.org/pmwiki/pmwiki.php/Series/AnotherLife2019,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance,'Another Life (2019)':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AnotherLife2019'
Ant-Man,https://tvtropes.org/pmwiki/pmwiki.php/Film/AntMan1,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance,'Ant-Man':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AntMan1'
Ant-Man,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AntMan,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfMass,'Ant-Man':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AntMan'
Armageddon (1998),https://tvtropes.org/pmwiki/pmwiki.php/Film/Armageddon1998,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfMass,'Armageddon (1998)':'https://tvtropes.org/pmwiki/pmwiki.php/Film/Armageddon1998'
Armored Core,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ArmoredCore,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfUnits,'Armored Core':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ArmoredCore'
Astro Boy,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AstroBoy,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance,'Astro Boy':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/AstroBoy'
Attack of the Clones,https://tvtropes.org/pmwiki/pmwiki.php/Film/AttackOfTheClones,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance,'Attack of the Clones':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AttackOfTheClones'
Attack on Titan,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AttackOnTitan,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfMass,'Attack on Titan':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/AttackOnTitan'
Aurora 4X,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Aurora4X,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance,'Aurora 4X':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Aurora4X'
Avatar: The Last Airbender,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AvatarTheLastAirbender,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance,'Avatar: The Last Airbender':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AvatarTheLastAirbender'
Avengers: Endgame,https://tvtropes.org/pmwiki/pmwiki.php/Film/AvengersEndgame,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfMass,'Avengers: Endgame':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AvengersEndgame'
Avengers: Infinity War,https://tvtropes.org/pmwiki/pmwiki.php/Film/AvengersInfinityWar,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfMass,'Avengers: Infinity War':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AvengersInfinityWar'
Ayreon,https://tvtropes.org/pmwiki/pmwiki.php/Music/Ayreon,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance,'Ayreon':'https://tvtropes.org/pmwiki/pmwiki.php/Music/Ayreon'
Babylon 5,https://tvtropes.org/pmwiki/pmwiki.php/Series/BabylonFive,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance,'Babylon 5':'https://tvtropes.org/pmwiki/pmwiki.php/Series/BabylonFive'
Batman: Hush,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/BatmanHush,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfUnits,'Batman: Hush':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/BatmanHush'
Battle of the Planets,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BattleOfThePlanets,https://tvtropes.org/pmwiki/pmwiki.php/SciFiWritersHave/NoSenseOfDistance,'Battle of the Planets':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/BattleOfThePlanets'
