text,url,source_url,concatenated
8-Bit Theater,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/EightBitTheater,https://tvtropes.org/pmwiki/pmwiki.php/Main/ScrewYouElves,'8-Bit Theater':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/EightBitTheater'
Age of Wonders,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AgeOfWonders,https://tvtropes.org/pmwiki/pmwiki.php/ScrewYouElves/VideoGames,'Age of Wonders':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AgeOfWonders'
An Heir to Thorns and Steel,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AnHeirToThornsAndSteel,https://tvtropes.org/pmwiki/pmwiki.php/ScrewYouElves/Literature,'An Heir to Thorns and Steel':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AnHeirToThornsAndSteel'
Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/ScrewYouElves/Literature,'Animorphs':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs'
Arena,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/TheElderScrollsArena,https://tvtropes.org/pmwiki/pmwiki.php/ScrewYouElves/VideoGames,'Arena':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/TheElderScrollsArena'
Babylon 5,https://tvtropes.org/pmwiki/pmwiki.php/Series/BabylonFive,https://tvtropes.org/pmwiki/pmwiki.php/ScrewYouElves/LiveActionTV,'Babylon 5':'https://tvtropes.org/pmwiki/pmwiki.php/Series/BabylonFive'
Baldur's Gate,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BaldursGate,https://tvtropes.org/pmwiki/pmwiki.php/ScrewYouElves/VideoGames,'Baldur's Gate':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BaldursGate'
Battle for the Planet of the Apes,https://tvtropes.org/pmwiki/pmwiki.php/Film/BattleForThePlanetOfTheApes,https://tvtropes.org/pmwiki/pmwiki.php/Main/ScrewYouElves,'Battle for the Planet of the Apes':'https://tvtropes.org/pmwiki/pmwiki.php/Film/BattleForThePlanetOfTheApes'
Battle Ground (2020),https://tvtropes.org/pmwiki/pmwiki.php/Literature/BattleGround2020,https://tvtropes.org/pmwiki/pmwiki.php/ScrewYouElves/Literature,'Battle Ground (2020)':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/BattleGround2020'
Beast Wars: Uprising,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/BeastWarsUprising,https://tvtropes.org/pmwiki/pmwiki.php/Main/ScrewYouElves,'Beast Wars: Uprising':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/BeastWarsUprising'
Berserk,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Berserk,https://tvtropes.org/pmwiki/pmwiki.php/Main/ScrewYouElves,'Berserk':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/Berserk'
Bravemule,https://tvtropes.org/pmwiki/pmwiki.php/LetsPlay/Bravemule,https://tvtropes.org/pmwiki/pmwiki.php/Main/ScrewYouElves,'Bravemule':'https://tvtropes.org/pmwiki/pmwiki.php/LetsPlay/Bravemule'
Changeling: The Dreaming,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/ChangelingTheDreaming,https://tvtropes.org/pmwiki/pmwiki.php/ScrewYouElves/TabletopGames,'Changeling: The Dreaming':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/ChangelingTheDreaming'
Changeling: The Lost,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/ChangelingTheLost,https://tvtropes.org/pmwiki/pmwiki.php/ScrewYouElves/TabletopGames,'Changeling: The Lost':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/ChangelingTheLost'
Childe Rowland,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ChildeRowland,https://tvtropes.org/pmwiki/pmwiki.php/ScrewYouElves/Literature,'Childe Rowland':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ChildeRowland'
Daggerfall,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/TheElderScrollsIIDaggerfall,https://tvtropes.org/pmwiki/pmwiki.php/ScrewYouElves/VideoGames,'Daggerfall':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/TheElderScrollsIIDaggerfall'
Daughter of the Lilies,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/DaughterOfTheLilies,https://tvtropes.org/pmwiki/pmwiki.php/Main/ScrewYouElves,'Daughter of the Lilies':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/DaughterOfTheLilies'
DM of the Rings,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/DMOfTheRings,https://tvtropes.org/pmwiki/pmwiki.php/Main/ScrewYouElves,'DM of the Rings':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/DMOfTheRings'
Doctor Who,https://tvtropes.org/pmwiki/pmwiki.php/Series/DoctorWho,https://tvtropes.org/pmwiki/pmwiki.php/ScrewYouElves/LiveActionTV,'Doctor Who':'https://tvtropes.org/pmwiki/pmwiki.php/Series/DoctorWho'
