text,url,source_url
Red vs. Blue,/pmwiki/pmwiki.php/WebAnimation/RedVsBlue,https://tvtropes.org/pmwiki/pmwiki.php/Main/SelfFulfillingProphecy
The Backwater Gospel,/pmwiki/pmwiki.php/WebAnimation/TheBackwaterGospel,https://tvtropes.org/pmwiki/pmwiki.php/Main/SelfFulfillingProphecy
Old Master Q,/pmwiki/pmwiki.php/Manhua/OldMasterQ,https://tvtropes.org/pmwiki/pmwiki.php/Main/SelfFulfillingProphecy
The Devil With the Three Golden Hairs,/pmwiki/pmwiki.php/Literature/TheDevilWithTheThreeGoldenHairs,https://tvtropes.org/pmwiki/pmwiki.php/Main/SelfFulfillingProphecy
The King Who Would Be Stronger Than Fate,/pmwiki/pmwiki.php/Literature/TheKingWhoWouldBeStrongerThanFate,https://tvtropes.org/pmwiki/pmwiki.php/Main/SelfFulfillingProphecy
"Sun, Moon, and Talia",/pmwiki/pmwiki.php/Literature/SunMoonAndTalia,https://tvtropes.org/pmwiki/pmwiki.php/Main/SelfFulfillingProphecy
Sleeping Beauty,/pmwiki/pmwiki.php/Literature/SleepingBeauty,https://tvtropes.org/pmwiki/pmwiki.php/Main/SelfFulfillingProphecy
The Grateful Beasts,/pmwiki/pmwiki.php/Literature/TheGratefulBeasts,https://tvtropes.org/pmwiki/pmwiki.php/Main/SelfFulfillingProphecy
Old Oleg,/pmwiki/pmwiki.php/Literature/OldOleg,https://tvtropes.org/pmwiki/pmwiki.php/Main/SelfFulfillingProphecy
Discworld,/pmwiki/pmwiki.php/Literature/Discworld,https://tvtropes.org/pmwiki/pmwiki.php/Main/SelfFulfillingProphecy
Horus Heresy,/pmwiki/pmwiki.php/Literature/HorusHeresy,https://tvtropes.org/pmwiki/pmwiki.php/Main/SelfFulfillingProphecy
Inheritance Cycle,/pmwiki/pmwiki.php/Literature/InheritanceCycle,https://tvtropes.org/pmwiki/pmwiki.php/Main/SelfFulfillingProphecy
