text,url,source_url,concatenated
1632,https://tvtropes.org/pmwiki/pmwiki.php/Literature/SixteenThirtyTwo,https://tvtropes.org/pmwiki/pmwiki.php/SelfFulfillingProphecy/Literature,'1632':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/SixteenThirtyTwo'
12 Monkeys,https://tvtropes.org/pmwiki/pmwiki.php/Film/TwelveMonkeys,https://tvtropes.org/pmwiki/pmwiki.php/SelfFulfillingProphecy/LiveActionFilms,'12 Monkeys':'https://tvtropes.org/pmwiki/pmwiki.php/Film/TwelveMonkeys'
3rd Rock from the Sun,https://tvtropes.org/pmwiki/pmwiki.php/Series/ThirdRockFromTheSun,https://tvtropes.org/pmwiki/pmwiki.php/SelfFulfillingProphecy/LiveActionTV,'3rd Rock from the Sun':'https://tvtropes.org/pmwiki/pmwiki.php/Series/ThirdRockFromTheSun'
4chan,https://tvtropes.org/pmwiki/pmwiki.php/Website/FourChan,https://tvtropes.org/pmwiki/pmwiki.php/SelfFulfillingProphecy/RealLife,'4chan':'https://tvtropes.org/pmwiki/pmwiki.php/Website/FourChan'
A Bug's Life,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ABugsLife,https://tvtropes.org/pmwiki/pmwiki.php/SelfFulfillingProphecy/AnimatedFilms,'A Bug's Life':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ABugsLife'
A Cry in the Night,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACryInTheNight,https://tvtropes.org/pmwiki/pmwiki.php/SelfFulfillingProphecy/Literature,'A Cry in the Night':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACryInTheNight'
A Song of Ice and Fire,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASongOfIceAndFire,https://tvtropes.org/pmwiki/pmwiki.php/SelfFulfillingProphecy/Literature,'A Song of Ice and Fire':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASongOfIceAndFire'
Aberrant,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Aberrant,https://tvtropes.org/pmwiki/pmwiki.php/Main/SelfFulfillingProphecy,'Aberrant':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Aberrant'
Adventure Time,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime,https://tvtropes.org/pmwiki/pmwiki.php/SelfFulfillingProphecy/WesternAnimation,'Adventure Time':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime'
Ai Kora,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AiKora,https://tvtropes.org/pmwiki/pmwiki.php/SelfFulfillingProphecy/AnimeAndManga,'Ai Kora':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/AiKora'
Air Crash Investigation,https://tvtropes.org/pmwiki/pmwiki.php/Series/AirCrashInvestigation,https://tvtropes.org/pmwiki/pmwiki.php/SelfFulfillingProphecy/RealLife,'Air Crash Investigation':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AirCrashInvestigation'
American Dad!,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AmericanDad,https://tvtropes.org/pmwiki/pmwiki.php/SelfFulfillingProphecy/WesternAnimation,'American Dad!':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AmericanDad'
