text,url,source_url
Apos,/pmwiki/pmwiki.php/Anime/Mnemosyne,https://tvtropes.org/pmwiki/pmwiki.php/Main/ShapeshifterGuiltTrip
DEATH BATTLE!,/pmwiki/pmwiki.php/WebAnimation/DeathBattle,https://tvtropes.org/pmwiki/pmwiki.php/Main/ShapeshifterGuiltTrip
RWBY,/pmwiki/pmwiki.php/WebAnimation/RWBY,https://tvtropes.org/pmwiki/pmwiki.php/Main/ShapeshifterGuiltTrip
Nabari no Ou,/pmwiki/pmwiki.php/Manga/NabariNoOu,https://tvtropes.org/pmwiki/pmwiki.php/Main/ShapeshifterGuiltTrip
Kakashi,/pmwiki/pmwiki.php/Manga/Naruto,https://tvtropes.org/pmwiki/pmwiki.php/Main/ShapeshifterGuiltTrip
Nabari no Ou,/pmwiki/pmwiki.php/Manga/NabariNoOu,https://tvtropes.org/pmwiki/pmwiki.php/Main/ShapeshifterGuiltTrip
Nana,/pmwiki/pmwiki.php/Manga/Nana,https://tvtropes.org/pmwiki/pmwiki.php/Main/ShapeshifterGuiltTrip
,/pmwiki/pmwiki.php/ComicBook/SonicTheHedgehogIDW,https://tvtropes.org/pmwiki/pmwiki.php/Main/ShapeshifterGuiltTrip
Mystique,/pmwiki/pmwiki.php/ComicBook/Mystique,https://tvtropes.org/pmwiki/pmwiki.php/Main/ShapeshifterGuiltTrip
Jean,/pmwiki/pmwiki.php/ComicBook/JeanGrey,https://tvtropes.org/pmwiki/pmwiki.php/Main/ShapeshifterGuiltTrip
Rogue,/pmwiki/pmwiki.php/ComicBook/Rogue,https://tvtropes.org/pmwiki/pmwiki.php/Main/ShapeshifterGuiltTrip
Storm,/pmwiki/pmwiki.php/ComicBook/Storm,https://tvtropes.org/pmwiki/pmwiki.php/Main/ShapeshifterGuiltTrip
Nodwick,/pmwiki/pmwiki.php/ComicStrip/Nodwick,https://tvtropes.org/pmwiki/pmwiki.php/Main/ShapeshifterGuiltTrip
Phantoms,/pmwiki/pmwiki.php/Literature/Phantoms,https://tvtropes.org/pmwiki/pmwiki.php/Main/ShapeshifterGuiltTrip
