text,url,source_url,concatenated
'00s series,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Supergirl2005,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/ComicBooks,''00s series':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Supergirl2005'
[PROTOTYPE],https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Prototype,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/VideoGames,'[PROTOTYPE]':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Prototype'
A Certain Magical Index,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/AnimeAndManga,'A Certain Magical Index':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex'
Adventures of the Galaxy Rangers,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventuresOfTheGalaxyRangers,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/WesternAnimation,'Adventures of the Galaxy Rangers':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventuresOfTheGalaxyRangers'
Ahriman: Exile,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ThousandSons,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/Literature,'Ahriman: Exile':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ThousandSons'
Akame ga Kill!,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AkameGaKill,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/AnimeAndManga,'Akame ga Kill!':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/AkameGaKill'
Altered Carbon,https://tvtropes.org/pmwiki/pmwiki.php/Series/AlteredCarbon,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/LiveActionTV,'Altered Carbon':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AlteredCarbon'
Amatsuki,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Amatsuki,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/AnimeAndManga,'Amatsuki':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/Amatsuki'
Angel,https://tvtropes.org/pmwiki/pmwiki.php/Series/Angel,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/LiveActionTV,'Angel':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Angel'
Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/Literature,'Animorphs':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs'
Apos,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Mnemosyne,https://tvtropes.org/pmwiki/pmwiki.php/Main/ShapeshifterGuiltTrip,'Apos':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/Mnemosyne'
Arabian Nights,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ArabianNights,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/Literature,'Arabian Nights':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ArabianNights'
Archipelago,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Archipelago,https://tvtropes.org/pmwiki/pmwiki.php/Main/ShapeshifterGuiltTrip,'Archipelago':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Archipelago'
Ash vs. Evil Dead,https://tvtropes.org/pmwiki/pmwiki.php/Series/AshVsEvilDead,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/LiveActionTV,'Ash vs. Evil Dead':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AshVsEvilDead'
Astonishing X-Men,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AstonishingXMen,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/ComicBooks,'Astonishing X-Men':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AstonishingXMen'
Avengers Academy,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AvengersAcademy,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/ComicBooks,'Avengers Academy':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AvengersAcademy'
Avengers: The Initiative,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AvengersTheInitiative,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/ComicBooks,'Avengers: The Initiative':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AvengersTheInitiative'
Ayakashi Triangle,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AyakashiTriangle,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/AnimeAndManga,'Ayakashi Triangle':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/AyakashiTriangle'
Batman '66,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Batman66,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/ComicBooks,'Batman '66':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Batman66'
Ben 10,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Ben10,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/WesternAnimation,'Ben 10':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Ben10'
Beyond Good & Evil,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BeyondGoodAndEvil,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/VideoGames,'Beyond Good & Evil':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BeyondGoodAndEvil'
BIONICLE,https://tvtropes.org/pmwiki/pmwiki.php/Toys/Bionicle,https://tvtropes.org/pmwiki/pmwiki.php/Main/ShapeshifterGuiltTrip,'BIONICLE':'https://tvtropes.org/pmwiki/pmwiki.php/Toys/Bionicle'
Bleach,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Bleach,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/AnimeAndManga,'Bleach':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/Bleach'
Buffy the Vampire Slayer,https://tvtropes.org/pmwiki/pmwiki.php/Series/BuffyTheVampireSlayer,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/LiveActionTV,'Buffy the Vampire Slayer':'https://tvtropes.org/pmwiki/pmwiki.php/Series/BuffyTheVampireSlayer'
Child of the Prophesy,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ChildOfTheProphesy,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/Literature,'Child of the Prophesy':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ChildOfTheProphesy'
Chrono Trigger,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ChronoTrigger,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/VideoGames,'Chrono Trigger':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ChronoTrigger'
Ciaphas Cain,https://tvtropes.org/pmwiki/pmwiki.php/Literature/CiaphasCain,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/Literature,'Ciaphas Cain':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/CiaphasCain'
Class (2016),https://tvtropes.org/pmwiki/pmwiki.php/Series/Class2016,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/LiveActionTV,'Class (2016)':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Class2016'
Dance in the Vampire Bund,https://tvtropes.org/pmwiki/pmwiki.php/Manga/DanceInTheVampireBund,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/AnimeAndManga,'Dance in the Vampire Bund':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/DanceInTheVampireBund'
Dante's Inferno,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DantesInferno,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/VideoGames,'Dante's Inferno':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DantesInferno'
DEATH BATTLE!,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/DeathBattle,https://tvtropes.org/pmwiki/pmwiki.php/Main/ShapeshifterGuiltTrip,'DEATH BATTLE!':'https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/DeathBattle'
Doctor Who,https://tvtropes.org/pmwiki/pmwiki.php/Series/DoctorWho,https://tvtropes.org/pmwiki/pmwiki.php/ShapeshifterGuiltTrip/LiveActionTV,'Doctor Who':'https://tvtropes.org/pmwiki/pmwiki.php/Series/DoctorWho'
