text,url,source_url
BoBoiBoy,/pmwiki/pmwiki.php/Animation/BoBoiBoy,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Burka Avenger,/pmwiki/pmwiki.php/Animation/BurkaAvenger,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
GG Bond,/pmwiki/pmwiki.php/Animation/GGBond,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Happy Heroes,/pmwiki/pmwiki.php/Animation/HappyHeroes,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Mechamato,/pmwiki/pmwiki.php/Animation/Mechamato,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Noonbory and the Super 7,/pmwiki/pmwiki.php/Animation/NoonboryAndTheSuper7,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
YoYo Man,/pmwiki/pmwiki.php/Animation/YoYoMan,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Astro Boy,/pmwiki/pmwiki.php/Manga/AstroBoy,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Sherlock Holmes,/pmwiki/pmwiki.php/Literature/SherlockHolmes,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Golden Bat,/pmwiki/pmwiki.php/Theatre/GoldenBat,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Mrs. Hawking,/pmwiki/pmwiki.php/Theatre/MrsHawking,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Prince of Gamma,/pmwiki/pmwiki.php/Theatre/PrinceOfGamma,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Spider-Man: Turn Off the Dark,/pmwiki/pmwiki.php/Theatre/SpiderManTurnOffTheDark,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Batman: The Audio Adventures,/pmwiki/pmwiki.php/Podcast/BatmanTheAudioAdventures,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Batman Unburied,/pmwiki/pmwiki.php/Podcast/BatmanUnburied,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Glory Hounds,/pmwiki/pmwiki.php/VisualNovel/GloryHounds,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Super Nova,/pmwiki/pmwiki.php/VisualNovel/SuperNova,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Aberrant,/pmwiki/pmwiki.php/TabletopGame/Aberrant,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Base Raiders,/pmwiki/pmwiki.php/TabletopGame/BaseRaiders,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Champions,/pmwiki/pmwiki.php/TabletopGame/Champions,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Claim the Sky,/pmwiki/pmwiki.php/TabletopGame/ClaimTheSky,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
DC Heroes,/pmwiki/pmwiki.php/TabletopGame/DCHeroes,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Heroes Unlimited,/pmwiki/pmwiki.php/TabletopGame/HeroesUnlimited,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Marvel Super Heroes,/pmwiki/pmwiki.php/TabletopGame/MarvelSuperHeroes,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Masks: A New Generation,/pmwiki/pmwiki.php/TabletopGame/MasksANewGeneration,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Mutants & Masterminds,/pmwiki/pmwiki.php/TabletopGame/MutantsAndMasterminds,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
The Origin,/pmwiki/pmwiki.php/TabletopGame/TheOrigin,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Sentinels of the Multiverse,/pmwiki/pmwiki.php/TabletopGame/SentinelsOfTheMultiverse,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Silver Age Sentinels,/pmwiki/pmwiki.php/TabletopGame/SilverAgeSentinels,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Truth & Justice,/pmwiki/pmwiki.php/TabletopGame/TruthAndJustice,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Unmasked,/pmwiki/pmwiki.php/TabletopGame/Unmasked,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Villains & Vigilantes,/pmwiki/pmwiki.php/TabletopGame/VillainsAndVigilantes,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Wild Talents,/pmwiki/pmwiki.php/TabletopGame/WildTalents,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
,/pmwiki/pmwiki.php/Series/LastManStanding2011,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Guardians of the Galaxy – Mission: BREAKOUT!,/pmwiki/pmwiki.php/Ride/GuardiansOfTheGalaxyMissionBreakout,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
The Amazing Adventures of Spider-Man,/pmwiki/pmwiki.php/Ride/TheAmazingAdventuresOfSpiderMan,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Doctor Doom's Fearfall,/pmwiki/pmwiki.php/Ride/DoctorDoomsFearfall,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
The Incredible Hulk Coaster,/pmwiki/pmwiki.php/Ride/TheIncredibleHulkCoaster,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Storm Force Accelatron,/pmwiki/pmwiki.php/Ride/StormForceAccelatron,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Avengers: Infinity Quest,/pmwiki/pmwiki.php/Pinball/AvengersInfinityQuest,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
The Avengers (Stern),/pmwiki/pmwiki.php/Pinball/TheAvengersStern,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
Batman (Data East),/pmwiki/pmwiki.php/Pinball/BatmanDataEast,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories
