text,url,source_url,concatenated
7,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Seven,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'7':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Seven'
[PROTOTYPE 2],https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Prototype2,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/VideoGames,'[PROTOTYPE 2]':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Prototype2'
[PROTOTYPE],https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Prototype,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/VideoGames,'[PROTOTYPE]':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Prototype'
0 to D,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ZeroToD,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/WesternAnimation,'0 to D':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ZeroToD'
009 Re:Cyborg,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ZeroZeroNineReCyborg,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/AnimeAndManga,'009 Re:Cyborg':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/ZeroZeroNineReCyborg'
100% Wolf,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/OneHundredPercentWolf,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/AnimatedFilms,'100% Wolf':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/OneHundredPercentWolf'
28 Minute Epic,https://tvtropes.org/pmwiki/pmwiki.php/Film/TwentyEightMinuteEpic,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/LiveActionFilms,'28 Minute Epic':'https://tvtropes.org/pmwiki/pmwiki.php/Film/TwentyEightMinuteEpic'
3 Minute Max,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/ThreeMinuteMax,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/Webcomics,'3 Minute Max':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/ThreeMinuteMax'
3Below,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ThreeBelow,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/WesternAnimation,'3Below':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ThreeBelow'
50/50 Heroes,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/FiftyFiftyHeroes,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/WesternAnimation,'50/50 Heroes':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/FiftyFiftyHeroes'
8th Man,https://tvtropes.org/pmwiki/pmwiki.php/Anime/EighthMan,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/AnimeAndManga,'8th Man':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/EighthMan'
A Certain Magical Index,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/AnimeAndManga,'A Certain Magical Index':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex'
A Certain Scientific Accelerator,https://tvtropes.org/pmwiki/pmwiki.php/Manga/ACertainScientificAccelerator,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/AnimeAndManga,'A Certain Scientific Accelerator':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/ACertainScientificAccelerator'
A Certain Scientific Railgun,https://tvtropes.org/pmwiki/pmwiki.php/Manga/ACertainScientificRailgun,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/AnimeAndManga,'A Certain Scientific Railgun':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/ACertainScientificRailgun'
A God Somewhere,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AGodSomewhere,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'A God Somewhere':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AGodSomewhere'
A Mind-Switch in Time,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AMindSwitchInTime,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'A Mind-Switch in Time':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AMindSwitchInTime'
A Song of Ice and Fire,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASongOfIceAndFire,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/FanWorks,'A Song of Ice and Fire':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASongOfIceAndFire'
Aberrant,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Aberrant,https://tvtropes.org/pmwiki/pmwiki.php/Main/SuperheroStories,'Aberrant':'https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Aberrant'
Absolute Duo,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AbsoluteDuo,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/AnimeAndManga,'Absolute Duo':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AbsoluteDuo'
Absolution,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Absolution,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'Absolution':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Absolution'
Abyss,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Abyss,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'Abyss':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Abyss'
Academy of Superheroes,https://tvtropes.org/pmwiki/pmwiki.php/WebOriginal/AcademyOfSuperheroes,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/WebOriginal,'Academy of Superheroes':'https://tvtropes.org/pmwiki/pmwiki.php/WebOriginal/AcademyOfSuperheroes'
Ace in the Hole (Wild Cards),https://tvtropes.org/pmwiki/pmwiki.php/Literature/AceInTheHoleWildCards,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/Literature,'Ace in the Hole (Wild Cards)':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AceInTheHoleWildCards'
Ace of Space,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AceOfSpace,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'Ace of Space':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AceOfSpace'
Aces Abroad,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AcesAbroad,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/Literature,'Aces Abroad':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AcesAbroad'
Aces High (Wild Cards),https://tvtropes.org/pmwiki/pmwiki.php/Literature/AcesHighWildCards,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/Literature,'Aces High (Wild Cards)':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AcesHighWildCards'
Acrobat,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Acrobat,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/Webcomics,'Acrobat':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Acrobat'
Action Comics #1,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/ActionComicsNumber1,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'Action Comics #1':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/ActionComicsNumber1'
Action Figures,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ActionFigures,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/Literature,'Action Figures':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ActionFigures'
Action League NOW!,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ActionLeagueNow,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/WesternAnimation,'Action League NOW!':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ActionLeagueNow'
Action Man (2000),https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ActionMan2000,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/WesternAnimation,'Action Man (2000)':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ActionMan2000'
Adam: Legend of the Blue Marvel,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AdamLegendOfTheBlueMarvel,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'Adam: Legend of the Blue Marvel':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AdamLegendOfTheBlueMarvel'
Adventures of Supergirl,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AdventuresOfSupergirl,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'Adventures of Supergirl':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AdventuresOfSupergirl'
Adventures of Superman: Jon Kent,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AdventuresOfSupermanJonKent,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'Adventures of Superman: Jon Kent':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AdventuresOfSupermanJonKent'
After the Golden Age,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AfterTheGoldenAge,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/Literature,'After the Golden Age':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AfterTheGoldenAge'
Age of the Sentry,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AgeOfTheSentry,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'Age of the Sentry':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AgeOfTheSentry'
Agent Carter,https://tvtropes.org/pmwiki/pmwiki.php/Series/AgentCarter,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/LiveActionTV,'Agent Carter':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AgentCarter'
Agents of Atlas,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AgentsOfAtlas,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'Agents of Atlas':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AgentsOfAtlas'
Agents of S.H.I.E.L.D.,https://tvtropes.org/pmwiki/pmwiki.php/Series/AgentsOfSHIELD,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/LiveActionTV,'Agents of S.H.I.E.L.D.':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AgentsOfSHIELD'
Agents of S.H.I.E.L.D.: Slingshot,https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/AgentsOfSHIELDSlingshot,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/WebOriginal,'Agents of S.H.I.E.L.D.: Slingshot':'https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/AgentsOfSHIELDSlingshot'
Airboy,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Airboy,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'Airboy':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Airboy'
Akumaizer 3,https://tvtropes.org/pmwiki/pmwiki.php/Series/Akumaizer3,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/LiveActionTV,'Akumaizer 3':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Akumaizer3'
Albion,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Albion,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'Albion':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Albion'
Alias,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Alias,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'Alias':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Alias'
All Fall Down,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AllFallDown,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'All Fall Down':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AllFallDown'
All Kamen Rider Generations,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AllKamenRiderGenerations,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/VideoGames,'All Kamen Rider Generations':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AllKamenRiderGenerations'
All Superheroes Must Die,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AllSuperheroesMustDie,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'All Superheroes Must Die':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AllSuperheroesMustDie'
All Superheroes Must Die,https://tvtropes.org/pmwiki/pmwiki.php/Film/AllSuperheroesMustDie,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/LiveActionFilms,'All Superheroes Must Die':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AllSuperheroesMustDie'
All Those Explosions Were Someone Else's Fault,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AllThoseExplosionsWereSomeoneElsesFault,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/Literature,'All Those Explosions Were Someone Else's Fault':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AllThoseExplosionsWereSomeoneElsesFault'
All-New Ghost Rider,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AllNewGhostRider,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'All-New Ghost Rider':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AllNewGhostRider'
All-Star Comics #8,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AllStarComicsNumber8,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'All-Star Comics #8':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AllStarComicsNumber8'
All-Star Superman,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AllStarSuperman,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'All-Star Superman':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AllStarSuperman'
All-Star Superman,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AllStarSuperman,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/AnimatedFilms,'All-Star Superman':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AllStarSuperman'
All-Star Western,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AllStarWestern,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'All-Star Western':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AllStarWestern'
Almighty Protectors,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AlmightyProtectors,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/Webcomics,'Almighty Protectors':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AlmightyProtectors'
Almost Infamous: A Supervillain Novel,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AlmostInfamousASupervillainNovel,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/Literature,'Almost Infamous: A Supervillain Novel':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AlmostInfamousASupervillainNovel'
Alpha Flight,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AlphaFlight,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'Alpha Flight':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AlphaFlight'
Alpha Gods,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AlphaGods,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'Alpha Gods':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AlphaGods'
Alphas,https://tvtropes.org/pmwiki/pmwiki.php/Series/Alphas,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/LiveActionTV,'Alphas':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Alphas'
Alt★Hero,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AltHero,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'Alt★Hero':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AltHero'
Alters,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Alters,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'Alters':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Alters'
"Amanda Green, Superhuman Insurance Agent",https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AmandaGreenSuperhumanInsuranceAgent,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/Webcomics,"'Amanda Green, Superhuman Insurance Agent':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AmandaGreenSuperhumanInsuranceAgent'"
Amazing Age,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AmazingAge,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'Amazing Age':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AmazingAge'
Amazing Fantasy #15,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AmazingFantasyNumber15,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'Amazing Fantasy #15':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AmazingFantasyNumber15'
Amazing-Man,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AmazingMan,https://tvtropes.org/pmwiki/pmwiki.php/SuperheroStories/ComicBooks,'Amazing-Man':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AmazingMan'
