title,url
Combattler V,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CombattlerV
Mazinger Z,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MazingerZ
Great Mazinger,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GreatMazinger
Daimos,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Daimos
Voltes V,https://tvtropes.org/pmwiki/pmwiki.php/Anime/VoltesV
Daiku-Maryu,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gaiking
it used to be,https://tvtropes.org/pmwiki/pmwiki.php/Anime/OvermanKingGainer
The Brave Express Might Gaine,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheBraveExpressMightGaine
Dancougar,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Dancougar
Gravion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gravion
Tengen Toppa Gurren Lagann,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TengenToppaGurrenLagann
Gaogaigar,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gaogaigar
Or,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TengenToppaGurrenLagann
Voltron,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Voltron
Neon Genesis Evangelion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/NeonGenesisEvangelion
Cross Ange,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CrossAnge
Mobile Fighter G Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileFighterGGundam
G-Stone Energy,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gaogaigar
Spiral Power,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TengenToppaGurrenLagann
pilot's father,https://tvtropes.org/pmwiki/pmwiki.php/Anime/NeonGenesisEvangelion
grandfather,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MazingerZ
Gunbuster,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gunbuster
"""Invincible"" Superman Zambot 3",https://tvtropes.org/pmwiki/pmwiki.php/Anime/Zambot3
"""Unchallengeable"" Steel Man Daitarn 3",https://tvtropes.org/pmwiki/pmwiki.php/Anime/Daitarn3
Gigantor,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gigantor
Mazinger Z,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MazingerZ
Mazinger Z,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MazingerZ
Great Mazinger,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GreatMazinger
UFO Robo Grendizer,https://tvtropes.org/pmwiki/pmwiki.php/Anime/UFORoboGrendizer
God Mazinger,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GodMazinger
Mazinkaiser,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Mazinkaiser
Shin Mazinger,https://tvtropes.org/pmwiki/pmwiki.php/Anime/ShinMazinger
Mazinger Z,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MazingerZ
Robot Romance Trilogy,https://tvtropes.org/pmwiki/pmwiki.php/Anime/RobotRomanceTrilogy
Combattler V,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CombattlerV
Voltes V,https://tvtropes.org/pmwiki/pmwiki.php/Anime/VoltesV
Daimos,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Daimos
Raideen,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Raideen
RahXephon,https://tvtropes.org/pmwiki/pmwiki.php/Anime/RahXephon
Zambot 3,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Zambot3
Daitarn 3,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Daitarn3
Tengen Toppa Gurren Lagann,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TengenToppaGurrenLagann
B't X,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BtX
GunBuster,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GunBuster
Gaiking,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gaiking
Gaiking: Legend of Daiku Maryu,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GaikingLegendOfDaikuMaryu
Kotetsu Jeeg,https://tvtropes.org/pmwiki/pmwiki.php/Anime/KotetsuJeeg
Brave Series,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BraveSeries
GaoGaiGar,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GaoGaiGar
Mobile Fighter G Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileFighterGGundam
Mobile Suit Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundam
RX-78-2,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundam
Code Geass,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CodeGeass
Eureka Seven,https://tvtropes.org/pmwiki/pmwiki.php/Anime/EurekaSeven
Mobile Suit Gundam 00,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundam00
∀ Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TurnAGundam
Zeta Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitZetaGundam
Gundam Build Fighters Try,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GundamBuildFightersTry
Gundam Build Divers Re:RISE,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GundamBuildDiversReRise
Neon Genesis Evangelion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/NeonGenesisEvangelion
Rebuild of Evangelion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/RebuildOfEvangelion
Speed Racer,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SpeedRacer
Space Runaway Ideon,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SpaceRunawayIdeon
GUN×SWORD,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GunXSword
GaoGaiGar,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GaoGaiGar
GaoGaiGar,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GaoGaiGar
RahXephon,https://tvtropes.org/pmwiki/pmwiki.php/Anime/RahXephon
Dancougar,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Dancougar
Dancougar Nova,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DancougarNova
Gravion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gravion
Planet Robo Danguard Ace,https://tvtropes.org/pmwiki/pmwiki.php/Anime/PlanetRoboDanguardAce
The Big O,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TheBigO
the last series,https://tvtropes.org/pmwiki/pmwiki.php/Anime/NekketsuSaikyoGosaurer
Gekiganger 3,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gekiganger3
Martian Successor Nadesico,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MartianSuccessorNadesico
Mazinger Z,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MazingerZ
Combattler V,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CombattlerV
Genesis of Aquarion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GenesisOfAquarion
Aquarion Evol,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AquarionEvol
Code Geass,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CodeGeass
Heroic Age,https://tvtropes.org/pmwiki/pmwiki.php/Anime/HeroicAge
Six God Combination Godmars,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Godmars
Brigadoon: Marin and Melan,https://tvtropes.org/pmwiki/pmwiki.php/Anime/BrigadoonMarinAndMelan
Star Driver,https://tvtropes.org/pmwiki/pmwiki.php/Anime/StarDriver
Captain Earth,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CaptainEarth
Star Driver,https://tvtropes.org/pmwiki/pmwiki.php/Anime/StarDriver
Regalia: The Three Sacred Stars,https://tvtropes.org/pmwiki/pmwiki.php/Anime/RegaliaTheThreeSacredStars
Gargantia on the Verdurous Planet,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GargantiaOnTheVerdurousPlanet
UFO Warrior Dai Apolon,https://tvtropes.org/pmwiki/pmwiki.php/Anime/UFOWarriorDaiApolon
Dual! Parallel Trouble Adventure,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DualParallelTroubleAdventure
Rumble Garanndoll,https://tvtropes.org/pmwiki/pmwiki.php/Anime/RumbleGaranndoll
the Mach Five,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SpeedRacer
Mazinger Z,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MazingerZ
Great Mazinger,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GreatMazinger
Kotetsu Jeeg,https://tvtropes.org/pmwiki/pmwiki.php/Anime/KotetsuJeeg
Gigantor,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gigantor
Mazinger Z,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MazingerZ
Kouji Kabuto,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MazingerZ
Tengen Toppa Gurren Lagann,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TengenToppaGurrenLagann
THE Wave Motion Gun,https://tvtropes.org/pmwiki/pmwiki.php/Anime/UchuuSenkanYamato
Voltron,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Voltron
GoLion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GoLion
Dairugger XV,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DairuggerXV
BURNING JUSTICE!,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TransformersRobotsInDisguise
"Optimus Prime, Super Mode!""",https://tvtropes.org/pmwiki/pmwiki.php/Anime/TransformersCybertron
"""Optimus Prime, Super Mode! Powerlink!",https://tvtropes.org/pmwiki/pmwiki.php/Anime/TransformersEnergon
Transformers: Energon,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TransformersEnergon
Ghost in the Shell: Stand Alone Complex,https://tvtropes.org/pmwiki/pmwiki.php/Anime/GhostInTheShellStandAloneComplex
Combattler V,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CombattlerV
Robot Taekwon V,https://tvtropes.org/pmwiki/pmwiki.php/Animation/RobotTaekwonV
Tobot,https://tvtropes.org/pmwiki/pmwiki.php/Animation/Tobot
gen:LOCK,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/GenLock
Getter Robo,https://tvtropes.org/pmwiki/pmwiki.php/Manga/GetterRobo
Getter Robo,https://tvtropes.org/pmwiki/pmwiki.php/Manga/GetterRobo
Getter 2,https://tvtropes.org/pmwiki/pmwiki.php/Manga/GetterRobo
Getter Rays,https://tvtropes.org/pmwiki/pmwiki.php/Manga/GetterRobo
New Mazinger,https://tvtropes.org/pmwiki/pmwiki.php/Manga/NewMazinger
Mazinger Angels,https://tvtropes.org/pmwiki/pmwiki.php/Manga/MazingerAngels
20th Century Boys,https://tvtropes.org/pmwiki/pmwiki.php/Manga/TwentiethCenturyBoys
Getter Robo,https://tvtropes.org/pmwiki/pmwiki.php/Manga/GetterRobo
Giant Robo,https://tvtropes.org/pmwiki/pmwiki.php/Manga/GiantRobo
Getter Robo,https://tvtropes.org/pmwiki/pmwiki.php/Manga/GetterRobo
Bokurano,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Bokurano
Hades Project Zeorymer,https://tvtropes.org/pmwiki/pmwiki.php/Manga/HadesProjectZeorymer
Magic Knight Rayearth,https://tvtropes.org/pmwiki/pmwiki.php/Manga/MagicKnightRayearth
Daimidaler the Sound Robot,https://tvtropes.org/pmwiki/pmwiki.php/Manga/DaimidalerTheSoundRobot
Getter Robo,https://tvtropes.org/pmwiki/pmwiki.php/Manga/GetterRobo
Ryoma Nagare,https://tvtropes.org/pmwiki/pmwiki.php/Manga/GetterRobo
Corpse Princess,https://tvtropes.org/pmwiki/pmwiki.php/Manga/CorpsePrincess
Metal Men,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/MetalMen
Green Lantern,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/GreenLantern
Shogun Warriors,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/ShogunWarriors
Iron Man,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/IronMan
House of M,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/HouseOfM
Human Torch (1939),https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/HumanTorch1939
The Invaders,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheInvadersMarvelComics
Spiderman,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Spiderman
,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ThePlayerOfGames
Full Metal Panic!,https://tvtropes.org/pmwiki/pmwiki.php/Literature/FullMetalPanic
Ricky Ricotta's Mighty Robot,https://tvtropes.org/pmwiki/pmwiki.php/Literature/RickyRicottasMightyRobot
Iron Widow,https://tvtropes.org/pmwiki/pmwiki.php/Literature/IronWidow
Ilivais X,https://tvtropes.org/pmwiki/pmwiki.php/Literature/IlivaisX
JAM Project,https://tvtropes.org/pmwiki/pmwiki.php/Music/JAMProject
Godzilla vs. Megalon,https://tvtropes.org/pmwiki/pmwiki.php/Film/GodzillaVsMegalon
Godzilla: Tokyo S.O.S.,https://tvtropes.org/pmwiki/pmwiki.php/Film/GodzillaTokyoSOS
the 1954,https://tvtropes.org/pmwiki/pmwiki.php/Film/Gojira
Robot Jox,https://tvtropes.org/pmwiki/pmwiki.php/Film/RobotJox
Pacific Rim,https://tvtropes.org/pmwiki/pmwiki.php/Film/PacificRim
Achilles Shieldmaidens,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AchillesShieldmaidens
Titanzer,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Titanzer
Energize,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Energize
Heroes Alliance,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/HeroesUnite
Kiwi Blitz,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/KiwiBlitz
the 90s cartoon,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/IronManTheAnimatedSeries
Batman Unlimited: Mechs Vs. Mutants,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BatmanUnlimitedMechsVsMutants
The Iron Giant,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/TheIronGiant
Frankenstein Jr.,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/FrankensteinJr
Sym-Bionic Titan,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/SymBionicTitan
Megas XLR,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/MegasXLR
The Mighty Orbots,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/MightyOrbots
Voltron: The Third Dimension,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/VoltronTheThirdDimension
Voltron Force,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/VoltronForce
Voltron: Legendary Defender,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/VoltronLegendaryDefender
Transformers: Animated,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/TransformersAnimated
Transformers: Prime,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/TransformersPrime
ReBoot,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ReBoot
Super Robot Monkey Team Hyperforce Go!,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/SuperRobotMonkeyTeamHyperforceGo
Dexter's Laboratory,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/DextersLaboratory
Heaven Will Be Mine,https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/HeavenWillBeMine
Demonbane,https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/Demonbane
Denshi Sentai Denziman,https://tvtropes.org/pmwiki/pmwiki.php/Series/DenshiSentaiDenziman
Japanese live-action version,https://tvtropes.org/pmwiki/pmwiki.php/Series/SpiderManJapan
Kyojuu Tokusou Juspion,https://tvtropes.org/pmwiki/pmwiki.php/Series/KyojuuTokusouJuspion
Metal Heroes,https://tvtropes.org/pmwiki/pmwiki.php/Series/MetalHeroes
Sekai Ninja Sen Jiraiya,https://tvtropes.org/pmwiki/pmwiki.php/Series/SekaiNinjaSenJiraiya
Super Robot Red Baron,https://tvtropes.org/pmwiki/pmwiki.php/Series/SuperRobotRedBaron
Mech-X4,https://tvtropes.org/pmwiki/pmwiki.php/Series/MechX4
Knight Rider,https://tvtropes.org/pmwiki/pmwiki.php/Series/KnightRider
Spider-Man (Japan),https://tvtropes.org/pmwiki/pmwiki.php/Series/SpiderManJapan
Stargirl (2020),https://tvtropes.org/pmwiki/pmwiki.php/Series/Stargirl2020
Voltes V: Legacy,https://tvtropes.org/pmwiki/pmwiki.php/Series/VoltesVLegacy
,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/SuperRobotWars
Super Robot Wars,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/SuperRobotWars
Super Robot Wars,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/SuperRobotWars
Super Robot Wars K,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/SuperRobotWarsK
Live A Live,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/LiveALive
Super Robot Wars,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/SuperRobotWars
Super Robot Wars Compact 2,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/SuperRobotWarsCompact2
Super Robot Wars W,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/SuperRobotWarsW
Super Robot Wars: Original Generation,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/SuperRobotWarsOriginalGeneration
La Gias,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/SuperRobotWarsGaiden
Another Century's Episode,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AnotherCenturysEpisode
Disgaea: Hour of Darkness,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DisgaeaHourOfDarkness
Phantom Brave,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/PhantomBrave
Makai Kingdom,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/MakaiKingdom
Xenosaga,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Xenosaga
Xenogears,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Xenogears
