text,url,source_url
Humans-B-Gone!,/pmwiki/pmwiki.php/WebAnimation/HumansBGone,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
Naruto,/pmwiki/pmwiki.php/Manga/Naruto,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
Angus Og,/pmwiki/pmwiki.php/ComicStrip/AngusOg,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
,/pmwiki/pmwiki.php/Literature/TheFinalGirlSupportGroup,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
Charlotte's Web,/pmwiki/pmwiki.php/Literature/CharlottesWeb,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
The Bible,/pmwiki/pmwiki.php/Literature/TheBible,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
The Four Gospels,/pmwiki/pmwiki.php/Literature/TheFourGospels,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
Acts,/pmwiki/pmwiki.php/Literature/ActsOfTheApostles,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
The Hunchback of Notre Dame,/pmwiki/pmwiki.php/Literature/TheHunchbackOfNotreDame,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
Cool Kids Table,/pmwiki/pmwiki.php/Podcast/CoolKidsTable,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
The White Vault,/pmwiki/pmwiki.php/Podcast/TheWhiteVault,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
John Finnemore's Souvenir Programme,/pmwiki/pmwiki.php/Radio/JohnFinnemoresSouvenirProgramme,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
Pearl Harbor,/pmwiki/pmwiki.php/Film/PearlHarbor,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
,/pmwiki/pmwiki.php/Webcomic/PepsiaPhobia,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
Space Chimps 2: Zartog Strikes Back,/pmwiki/pmwiki.php/WesternAnimation/SpaceChimps2ZartogStrikesBack,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
Pinocchio,/pmwiki/pmwiki.php/WesternAnimation/Pinocchio,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
Luca,/pmwiki/pmwiki.php/WesternAnimation/Luca,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
Coco,/pmwiki/pmwiki.php/WesternAnimation/Coco,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
Space Chimps,/pmwiki/pmwiki.php/WesternAnimation/SpaceChimps,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
Spider-Man: Into the Spider-Verse,/pmwiki/pmwiki.php/WesternAnimation/SpiderManIntoTheSpiderVerse,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
Exalted,/pmwiki/pmwiki.php/TabletopGame/Exalted,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
Warhammer Fantasy,/pmwiki/pmwiki.php/TabletopGame/WarhammerFantasy,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
"Warhammer 40,000",/pmwiki/pmwiki.php/TabletopGame/Warhammer40000,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
Dawn of War,/pmwiki/pmwiki.php/VideoGame/DawnOfWar,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
BIONICLE,/pmwiki/pmwiki.php/Toys/BIONICLE,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention
Blood+,/pmwiki/pmwiki.php/Anime/BloodPlus,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Blue Seed,/pmwiki/pmwiki.php/Anime/BlueSeed,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Carole & Tuesday,/pmwiki/pmwiki.php/Anime/CaroleAndTuesday,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Code Geass,/pmwiki/pmwiki.php/Anime/CodeGeass,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Code Geass: Akito the Exiled,/pmwiki/pmwiki.php/Anime/CodeGeassAkitoTheExiled,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Cowboy Bebop,/pmwiki/pmwiki.php/Anime/CowboyBebop,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Cyberpunk: Edgerunners,/pmwiki/pmwiki.php/Anime/CyberpunkEdgerunners,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Darker than Black,/pmwiki/pmwiki.php/Anime/DarkerThanBlack,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Digimon Adventure 02,/pmwiki/pmwiki.php/Anime/DigimonAdventure02,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Ergo Proxy,/pmwiki/pmwiki.php/Anime/ErgoProxy,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Fractale,/pmwiki/pmwiki.php/Anime/Fractale,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Fullmetal Alchemist (2003),/pmwiki/pmwiki.php/Anime/FullmetalAlchemist2003,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Conqueror of Shamballa,/pmwiki/pmwiki.php/Anime/FullmetalAlchemistTheConquerorOfShamballa,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Gankutsuou,/pmwiki/pmwiki.php/Anime/Gankutsuou,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Gargantia on the Verdurous Planet,/pmwiki/pmwiki.php/Anime/GargantiaOnTheVerdurousPlanet,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Ghost in the Shell: Stand Alone Complex,/pmwiki/pmwiki.php/Anime/GhostInTheShellStandAloneComplex,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Great Pretender,/pmwiki/pmwiki.php/Anime/GreatPretender,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
K,/pmwiki/pmwiki.php/Anime/K,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Kaleido Star,/pmwiki/pmwiki.php/Anime/KaleidoStar,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Last Exile,/pmwiki/pmwiki.php/Anime/LastExile,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Macross,/pmwiki/pmwiki.php/Anime/Macross,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Macross: Do You Remember Love?,/pmwiki/pmwiki.php/Anime/MacrossDoYouRememberLove,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Super Dimension Fortress Macross,/pmwiki/pmwiki.php/Anime/SuperDimensionFortressMacross,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Macross Frontier,/pmwiki/pmwiki.php/Anime/MacrossFrontier,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Majin Bone,/pmwiki/pmwiki.php/Anime/MajinBone,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Major,/pmwiki/pmwiki.php/Anime/Major,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Marginal Prince,/pmwiki/pmwiki.php/Anime/MarginalPrince,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Marvel Disk Wars: The Avengers,/pmwiki/pmwiki.php/Anime/MarvelDiskWarsTheAvengers,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Michiko & Hatchin,/pmwiki/pmwiki.php/Anime/MichikoAndHatchin,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
Gundam Wing,/pmwiki/pmwiki.php/Anime/MobileSuitGundamWing,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga
