text,url,source_url,concatenated
24,https://tvtropes.org/pmwiki/pmwiki.php/Series/TwentyFour,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/LiveActionTV,'24':'https://tvtropes.org/pmwiki/pmwiki.php/Series/TwentyFour'
'Allo 'Allo!,https://tvtropes.org/pmwiki/pmwiki.php/Series/AlloAllo,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/LiveActionTV,''Allo 'Allo!':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AlloAllo'
101 Dalmatians The Series,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/OneHundredAndOneDalmatiansTheSeries,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/WesternAnimation,'101 Dalmatians The Series':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/OneHundredAndOneDalmatiansTheSeries'
3×3 Eyes,https://tvtropes.org/pmwiki/pmwiki.php/Manga/SazanEyes,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga,'3×3 Eyes':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/SazanEyes'
A Bridge Too Far,https://tvtropes.org/pmwiki/pmwiki.php/Film/ABridgeTooFar,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/LiveActionFilms,'A Bridge Too Far':'https://tvtropes.org/pmwiki/pmwiki.php/Film/ABridgeTooFar'
A Fake Affair,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AFakeAffair,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/Webcomics,'A Fake Affair':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AFakeAffair'
A Song of Ice and Fire,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASongOfIceAndFire,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/Literature,'A Song of Ice and Fire':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASongOfIceAndFire'
Accidental Spy,https://tvtropes.org/pmwiki/pmwiki.php/Film/AccidentalSpy,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/LiveActionFilms,'Accidental Spy':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AccidentalSpy'
Acts,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ActsOfTheApostles,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention,'Acts':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ActsOfTheApostles'
Adventure Time,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/WesternAnimation,'Adventure Time':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime'
Agent 47: Birth of the Hitman,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Agent47BirthOfTheHitman,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/ComicBooks,'Agent 47: Birth of the Hitman':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Agent47BirthOfTheHitman'
Ai Yori Aoshi,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AiYoriAoshi,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga,'Ai Yori Aoshi':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/AiYoriAoshi'
Airwolf,https://tvtropes.org/pmwiki/pmwiki.php/Series/Airwolf,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/LiveActionTV,'Airwolf':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Airwolf'
Alexander,https://tvtropes.org/pmwiki/pmwiki.php/Film/Alexander,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/LiveActionFilms,'Alexander':'https://tvtropes.org/pmwiki/pmwiki.php/Film/Alexander'
All Quiet on the Western Front,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AllQuietOnTheWesternFront,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/LiveActionFilms,'All Quiet on the Western Front':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AllQuietOnTheWesternFront'
All the Pretty Horses,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AllThePrettyHorses,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/Literature,'All the Pretty Horses':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AllThePrettyHorses'
Almanya - Willkommen in Deutschland,https://tvtropes.org/pmwiki/pmwiki.php/Film/Alamnya,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/LiveActionFilms,'Almanya - Willkommen in Deutschland':'https://tvtropes.org/pmwiki/pmwiki.php/Film/Alamnya'
Alpha Protocol,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AlphaProtocol,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/VideoGames,'Alpha Protocol':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AlphaProtocol'
Anathem,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Anathem,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/Literature,'Anathem':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Anathem'
Ancillary Justice,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AncillaryJustice,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/Literature,'Ancillary Justice':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AncillaryJustice'
And Shine Heaven Now,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AndShineHeavenNow,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/Webcomics,'And Shine Heaven Now':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AndShineHeavenNow'
Anecdote of Error,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AnecdoteOfError,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/Webcomics,'Anecdote of Error':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AnecdoteOfError'
Angels & Demons,https://tvtropes.org/pmwiki/pmwiki.php/Film/AngelsAndDemons,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/LiveActionFilms,'Angels & Demons':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AngelsAndDemons'
Angus Og,https://tvtropes.org/pmwiki/pmwiki.php/ComicStrip/AngusOg,https://tvtropes.org/pmwiki/pmwiki.php/Main/TranslationConvention,'Angus Og':'https://tvtropes.org/pmwiki/pmwiki.php/ComicStrip/AngusOg'
Ansem Retort,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AnsemRetort,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/Webcomics,'Ansem Retort':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AnsemRetort'
Antares,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Antares,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/Literature,'Antares':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Antares'
Apocalypto,https://tvtropes.org/pmwiki/pmwiki.php/Film/Apocalypto,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/LiveActionFilms,'Apocalypto':'https://tvtropes.org/pmwiki/pmwiki.php/Film/Apocalypto'
Appleseed,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Appleseed,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/AnimeAndManga,'Appleseed':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/Appleseed'
Apricot Cookie(s)!,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/ApricotCookies,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/Webcomics,'Apricot Cookie(s)!':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/ApricotCookies'
Aqua Regia,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AquaRegia,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/Webcomics,'Aqua Regia':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AquaRegia'
Ar tonelico,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ExaPico,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/VideoGames,'Ar tonelico':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ExaPico'
Archer,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Archer,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/WesternAnimation,'Archer':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Archer'
Arn,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ArnTheKnightTemplar,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/LiveActionFilms,'Arn':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ArnTheKnightTemplar'
"Arthur, King of Time and Space",https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/ArthurKingOfTimeAndSpace,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/Webcomics,"'Arthur, King of Time and Space':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/ArthurKingOfTimeAndSpace'"
As Far As My Feet Will Carry Me,https://tvtropes.org/pmwiki/pmwiki.php/Film/AsFarAsMyFeetWillCarryMe,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/LiveActionFilms,'As Far As My Feet Will Carry Me':'https://tvtropes.org/pmwiki/pmwiki.php/Film/AsFarAsMyFeetWillCarryMe'
Ascendance of a Bookworm,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AscendanceOfABookworm,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/Literature,'Ascendance of a Bookworm':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AscendanceOfABookworm'
Assassin's Creed,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AssassinsCreedI,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/VideoGames,'Assassin's Creed':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AssassinsCreedI'
Assassin's Creed III,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AssassinsCreedIII,https://tvtropes.org/pmwiki/pmwiki.php/TranslationConvention/VideoGames,'Assassin's Creed III':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AssassinsCreedIII'
