text,url,source_url
Digimon Adventure,/pmwiki/pmwiki.php/Anime/DigimonAdventure,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/AnimeAndManga
Digimon Tamers,/pmwiki/pmwiki.php/Anime/DigimonTamers,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/AnimeAndManga
Digimon Frontier,/pmwiki/pmwiki.php/Anime/DigimonFrontier,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/AnimeAndManga
Digimon Data Squad,/pmwiki/pmwiki.php/Anime/DigimonDataSquad,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/AnimeAndManga
2012,/pmwiki/pmwiki.php/Film/TwoThousandTwelve,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/Film
.hack//G.U.,/pmwiki/pmwiki.php/VideoGame/DotHackGU,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/AnimeAndManga
2000 AD,/pmwiki/pmwiki.php/ComicBook/TwoThousandAD,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/ComicBooks
2001: A Space Odyssey,/pmwiki/pmwiki.php/Film/TwoThousandOneASpaceOdyssey,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/Film
2010: The Year We Make Contact,/pmwiki/pmwiki.php/Film/TwoThousandTenTheYearWeMakeContact,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/Film
28 Days Later,/pmwiki/pmwiki.php/Film/TwentyEightDaysLater,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/Film
A Certain Magical Index,/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/AnimeAndManga
A Miracle of Science,/pmwiki/pmwiki.php/Webcomic/AMiracleOfScience,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/Webcomics
A New Hope,/pmwiki/pmwiki.php/Film/ANewHope,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/Film
A.I.: Artificial Intelligence,/pmwiki/pmwiki.php/Film/AIArtificialIntelligence,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/Film
