text,url,source_url,concatenated
Digimon Adventure,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonAdventure,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/AnimeAndManga,'Digimon Adventure':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonAdventure'
Digimon Tamers,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonTamers,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/AnimeAndManga,'Digimon Tamers':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonTamers'
Digimon Frontier,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonFrontier,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/AnimeAndManga,'Digimon Frontier':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonFrontier'
Digimon Data Squad,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonDataSquad,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/AnimeAndManga,'Digimon Data Squad':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/DigimonDataSquad'
2012,https://tvtropes.org/pmwiki/pmwiki.php/Film/TwoThousandTwelve,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/Film,'2012':'https://tvtropes.org/pmwiki/pmwiki.php/Film/TwoThousandTwelve'
.hack//G.U.,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DotHackGU,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/AnimeAndManga,'.hack//G.U.':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/DotHackGU'
2000 AD,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TwoThousandAD,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/ComicBooks,'2000 AD':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TwoThousandAD'
2001: A Space Odyssey,https://tvtropes.org/pmwiki/pmwiki.php/Film/TwoThousandOneASpaceOdyssey,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/Film,'2001: A Space Odyssey':'https://tvtropes.org/pmwiki/pmwiki.php/Film/TwoThousandOneASpaceOdyssey'
2010: The Year We Make Contact,https://tvtropes.org/pmwiki/pmwiki.php/Film/TwoThousandTenTheYearWeMakeContact,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/Film,'2010: The Year We Make Contact':'https://tvtropes.org/pmwiki/pmwiki.php/Film/TwoThousandTenTheYearWeMakeContact'
28 Days Later,https://tvtropes.org/pmwiki/pmwiki.php/Film/TwentyEightDaysLater,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/Film,'28 Days Later':'https://tvtropes.org/pmwiki/pmwiki.php/Film/TwentyEightDaysLater'
A Certain Magical Index,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/AnimeAndManga,'A Certain Magical Index':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex'
A Miracle of Science,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AMiracleOfScience,https://tvtropes.org/pmwiki/pmwiki.php/WhatMeasureIsANonHuman/Webcomics,'A Miracle of Science':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AMiracleOfScience'
