text,url,source_url,concatenated
17776,https://tvtropes.org/pmwiki/pmwiki.php/WebOriginal/SeventeenThousandSevenHundredSeventySix,https://tvtropes.org/pmwiki/pmwiki.php/Main/WhoWantsToLiveForever,'17776':'https://tvtropes.org/pmwiki/pmwiki.php/WebOriginal/SeventeenThousandSevenHundredSeventySix'
8-Bit Theater,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/EightBitTheater,https://tvtropes.org/pmwiki/pmwiki.php/WhoWantsToLiveForever/Webcomics,'8-Bit Theater':'https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/EightBitTheater'
A Certain Magical Index,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex,https://tvtropes.org/pmwiki/pmwiki.php/WhoWantsToLiveForever/AnimeAndManga,'A Certain Magical Index':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ACertainMagicalIndex'
A Hat Full of Sky,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AHatFullOfSky,https://tvtropes.org/pmwiki/pmwiki.php/WhoWantsToLiveForever/Literature,'A Hat Full of Sky':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AHatFullOfSky'
a much worse tack than usual,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Infinity,https://tvtropes.org/pmwiki/pmwiki.php/WhoWantsToLiveForever/ComicBooks,'a much worse tack than usual':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Infinity'
Abraham Lincoln: Vampire Hunter,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AbrahamLincolnVampireHunter,https://tvtropes.org/pmwiki/pmwiki.php/WhoWantsToLiveForever/Literature,'Abraham Lincoln: Vampire Hunter':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AbrahamLincolnVampireHunter'
Adam Savage,https://tvtropes.org/pmwiki/pmwiki.php/Series/MythBusters,https://tvtropes.org/pmwiki/pmwiki.php/WhoWantsToLiveForever/LiveActionTV,'Adam Savage':'https://tvtropes.org/pmwiki/pmwiki.php/Series/MythBusters'
Adventure Time,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime,https://tvtropes.org/pmwiki/pmwiki.php/WhoWantsToLiveForever/FanWorks,'Adventure Time':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime'
Adventures of Sonic the Hedgehog,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventuresOfSonicTheHedgehog,https://tvtropes.org/pmwiki/pmwiki.php/WhoWantsToLiveForever/WesternAnimation,'Adventures of Sonic the Hedgehog':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventuresOfSonicTheHedgehog'
Airboy,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Airboy,https://tvtropes.org/pmwiki/pmwiki.php/WhoWantsToLiveForever/ComicBooks,'Airboy':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Airboy'
Akashic Records of Bastard Magic Instructor,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AkashicRecordsOfBastardMagicInstructor,https://tvtropes.org/pmwiki/pmwiki.php/WhoWantsToLiveForever/Literature,'Akashic Records of Bastard Magic Instructor':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AkashicRecordsOfBastardMagicInstructor'
Alias,https://tvtropes.org/pmwiki/pmwiki.php/Series/Alias,https://tvtropes.org/pmwiki/pmwiki.php/WhoWantsToLiveForever/LiveActionTV,'Alias':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Alias'
Alien in a Small Town,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AlienInASmallTown,https://tvtropes.org/pmwiki/pmwiki.php/WhoWantsToLiveForever/Literature,'Alien in a Small Town':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AlienInASmallTown'
