text,url,source_url,concatenated
9,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Nine,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/OtherMedia,'9':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Nine'
24,https://tvtropes.org/pmwiki/pmwiki.php/Series/TwentyFour,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/LiveActionTV,'24':'https://tvtropes.org/pmwiki/pmwiki.php/Series/TwentyFour'
35MM: A Musical Exhibition,https://tvtropes.org/pmwiki/pmwiki.php/Theatre/ThirtyFiveMillimeterAMusicalExhibition,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/OtherMedia,'35MM: A Musical Exhibition':'https://tvtropes.org/pmwiki/pmwiki.php/Theatre/ThirtyFiveMillimeterAMusicalExhibition'
A really bad day.,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheKillingJoke,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/ComicBooks,'A really bad day.':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheKillingJoke'
A Song of Ice and Fire,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASongOfIceAndFire,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/Literature,'A Song of Ice and Fire':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/ASongOfIceAndFire'
Ace Attorney Investigations 2,https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/AceAttorneyInvestigations,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/VisualNovels,'Ace Attorney Investigations 2':'https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/AceAttorneyInvestigations'
Adventure Time,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/WesternAnimation,'Adventure Time':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime'
Aftermath (Album),https://tvtropes.org/pmwiki/pmwiki.php/Music/AftermathAlbum,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/Music,'Aftermath (Album)':'https://tvtropes.org/pmwiki/pmwiki.php/Music/AftermathAlbum'
Alfred's Playhouse,https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/AlfredsPlayhouse,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/WebOriginal,'Alfred's Playhouse':'https://tvtropes.org/pmwiki/pmwiki.php/WebAnimation/AlfredsPlayhouse'
American Dad!,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AmericanDad,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/WesternAnimation,'American Dad!':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AmericanDad'
American Horror Story: Murder House,https://tvtropes.org/pmwiki/pmwiki.php/Series/AmericanHorrorStoryMurderHouse,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/LiveActionTV,'American Horror Story: Murder House':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AmericanHorrorStoryMurderHouse'
Analogue: A Hate Story,https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/AnalogueAHateStory,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/VisualNovels,'Analogue: A Hate Story':'https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/AnalogueAHateStory'
Angel,https://tvtropes.org/pmwiki/pmwiki.php/Series/Angel,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/LiveActionTV,'Angel':'https://tvtropes.org/pmwiki/pmwiki.php/Series/Angel'
Animal Land,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AnimalLand,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/AnimeAndManga,'Animal Land':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/AnimalLand'
Animaniacs (2020),https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Animaniacs2020,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/WesternAnimation,'Animaniacs (2020)':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Animaniacs2020'
Anna's Quest,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AnnasQuest,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/VideoGames,'Anna's Quest':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AnnasQuest'
Anti Christ Superstar,https://tvtropes.org/pmwiki/pmwiki.php/Music/AntiChristSuperstar,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/Music,'Anti Christ Superstar':'https://tvtropes.org/pmwiki/pmwiki.php/Music/AntiChristSuperstar'
Arcane,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Arcane,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/WesternAnimation,'Arcane':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Arcane'
Armageddon 2001,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Armageddon2001,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/ComicBooks,'Armageddon 2001':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Armageddon2001'
As stated later on,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/CastlevaniaSymphonyOfTheNight,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/VideoGames,'As stated later on':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/CastlevaniaSymphonyOfTheNight'
Ashes of Love,https://tvtropes.org/pmwiki/pmwiki.php/Series/AshesOfLove,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/LiveActionTV,'Ashes of Love':'https://tvtropes.org/pmwiki/pmwiki.php/Series/AshesOfLove'
Asura's Wrath,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AsurasWrath,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/VideoGames,'Asura's Wrath':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AsurasWrath'
Atop the Fourth Wall,https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/AtopTheFourthWall,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/WebOriginal,'Atop the Fourth Wall':'https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/AtopTheFourthWall'
Attack on Titan,https://tvtropes.org/pmwiki/pmwiki.php/Manga/AttackOnTitan,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/AnimeAndManga,'Attack on Titan':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/AttackOnTitan'
Avatar: The Last Airbender,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AvatarTheLastAirbender,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/WebOriginal,'Avatar: The Last Airbender':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AvatarTheLastAirbender'
Bahamut,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/FinalFantasyXIV,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/VideoGames,'Bahamut':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/FinalFantasyXIV'
Batman Beyond,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BatmanBeyond,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/WesternAnimation,'Batman Beyond':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BatmanBeyond'
Batman Returns,https://tvtropes.org/pmwiki/pmwiki.php/Film/BatmanReturns,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/OtherMedia,'Batman Returns':'https://tvtropes.org/pmwiki/pmwiki.php/Film/BatmanReturns'
Batman: Arkham Asylum,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BatmanArkhamAsylum,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/VideoGames,'Batman: Arkham Asylum':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BatmanArkhamAsylum'
Batman: Arkham City,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BatmanArkhamCity,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/VideoGames,'Batman: Arkham City':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BatmanArkhamCity'
Batman: Arkham Knight,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BatmanArkhamKnight,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/VideoGames,'Batman: Arkham Knight':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BatmanArkhamKnight'
Batman: The Animated Series,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BatmanTheAnimatedSeries,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/WesternAnimation,'Batman: The Animated Series':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/BatmanTheAnimatedSeries'
BattleTech,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BattleTech,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/VideoGames,'BattleTech':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BattleTech'
Beastars,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Beastars,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/AnimeAndManga,'Beastars':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/Beastars'
Ben 10: Ultimate Alien,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Ben10UltimateAlien,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/WesternAnimation,'Ben 10: Ultimate Alien':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Ben10UltimateAlien'
Berserk,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Berserk,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/AnimeAndManga,'Berserk':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/Berserk'
Beyond the Dark Portal,https://tvtropes.org/pmwiki/pmwiki.php/Literature/BeyondTheDarkPortal,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/VideoGames,'Beyond the Dark Portal':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/BeyondTheDarkPortal'
BioShock 2,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BioShock2,https://tvtropes.org/pmwiki/pmwiki.php/WoobieDestroyerOfWorlds/VideoGames,'BioShock 2':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BioShock2'
