text,url,source_url
B.C.,/pmwiki/pmwiki.php/ComicStrip/BC,https://tvtropes.org/pmwiki/pmwiki.php/Main/YouNoTakeCandle
Pearls Before Swine,/pmwiki/pmwiki.php/ComicStrip/PearlsBeforeSwine,https://tvtropes.org/pmwiki/pmwiki.php/Main/YouNoTakeCandle
Big Nate,/pmwiki/pmwiki.php/ComicStrip/BigNate,https://tvtropes.org/pmwiki/pmwiki.php/Main/YouNoTakeCandle
Our Miss Brooks,/pmwiki/pmwiki.php/Radio/OurMissBrooks,https://tvtropes.org/pmwiki/pmwiki.php/Main/YouNoTakeCandle
The Goon Show,/pmwiki/pmwiki.php/Radio/TheGoonShow,https://tvtropes.org/pmwiki/pmwiki.php/Main/YouNoTakeCandle
Bob & Ray,/pmwiki/pmwiki.php/Radio/BobAndRay,https://tvtropes.org/pmwiki/pmwiki.php/Main/YouNoTakeCandle
Massacration,/pmwiki/pmwiki.php/Music/Massacration,https://tvtropes.org/pmwiki/pmwiki.php/Main/YouNoTakeCandle
Jonathan Coulton,/pmwiki/pmwiki.php/Music/JonathanCoulton,https://tvtropes.org/pmwiki/pmwiki.php/Main/YouNoTakeCandle
The Dark Crystal,/pmwiki/pmwiki.php/Film/TheDarkCrystal,https://tvtropes.org/pmwiki/pmwiki.php/Main/YouNoTakeCandle
Amnesia: Memories,/pmwiki/pmwiki.php/VisualNovel/AmnesiaMemories,https://tvtropes.org/pmwiki/pmwiki.php/Main/YouNoTakeCandle
Missing Stars,/pmwiki/pmwiki.php/VisualNovel/MissingStars,https://tvtropes.org/pmwiki/pmwiki.php/Main/YouNoTakeCandle
BattleTech,/pmwiki/pmwiki.php/TabletopGame/BattleTech,https://tvtropes.org/pmwiki/pmwiki.php/Main/YouNoTakeCandle
Poetry For Neanderthals,/pmwiki/pmwiki.php/TabletopGame/PoetryForNeanderthals,https://tvtropes.org/pmwiki/pmwiki.php/Main/YouNoTakeCandle
"Warhammer 40,000",/pmwiki/pmwiki.php/TabletopGame/Warhammer40000,https://tvtropes.org/pmwiki/pmwiki.php/Main/YouNoTakeCandle
Mongrels,/pmwiki/pmwiki.php/Series/Mongrels,https://tvtropes.org/pmwiki/pmwiki.php/Main/YouNoTakeCandle
Sesame Street,/pmwiki/pmwiki.php/Series/SesameStreet,https://tvtropes.org/pmwiki/pmwiki.php/Main/YouNoTakeCandle
The Dark Crystal: Age of Resistance,/pmwiki/pmwiki.php/Series/TheDarkCrystalAgeOfResistance,https://tvtropes.org/pmwiki/pmwiki.php/Main/YouNoTakeCandle
Oobi,/pmwiki/pmwiki.php/Series/Oobi,https://tvtropes.org/pmwiki/pmwiki.php/Main/YouNoTakeCandle
