text,url,source_url,concatenated
"""Master Harold""... and the Boys",https://tvtropes.org/pmwiki/pmwiki.php/Theatre/MasterHaroldAndTheBoys,https://tvtropes.org/pmwiki/pmwiki.php/YouNoTakeCandle/Theatre,"'""Master Harold""... and the Boys':'https://tvtropes.org/pmwiki/pmwiki.php/Theatre/MasterHaroldAndTheBoys'"
2000 AD,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TwoThousandAD,https://tvtropes.org/pmwiki/pmwiki.php/YouNoTakeCandle/ComicBooks,'2000 AD':'https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TwoThousandAD'
7 Faces of Dr. Lao,https://tvtropes.org/pmwiki/pmwiki.php/Film/SevenFacesOfDrLao,https://tvtropes.org/pmwiki/pmwiki.php/YouNoTakeCandle/Film,'7 Faces of Dr. Lao':'https://tvtropes.org/pmwiki/pmwiki.php/Film/SevenFacesOfDrLao'
A Bug's Life,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ABugsLife,https://tvtropes.org/pmwiki/pmwiki.php/YouNoTakeCandle/Film,'A Bug's Life':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ABugsLife'
A Hat in Time,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AHatInTime,https://tvtropes.org/pmwiki/pmwiki.php/YouNoTakeCandle/VideoGames,'A Hat in Time':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AHatInTime'
A Million Adventures,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AMillionAdventures,https://tvtropes.org/pmwiki/pmwiki.php/YouNoTakeCandle/Literature,'A Million Adventures':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/AMillionAdventures'
Adventure Time,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime,https://tvtropes.org/pmwiki/pmwiki.php/YouNoTakeCandle/WesternAnimation,'Adventure Time':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AdventureTime'
Alexander,https://tvtropes.org/pmwiki/pmwiki.php/Film/Alexander,https://tvtropes.org/pmwiki/pmwiki.php/YouNoTakeCandle/Film,'Alexander':'https://tvtropes.org/pmwiki/pmwiki.php/Film/Alexander'
Amnesia: Memories,https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/AmnesiaMemories,https://tvtropes.org/pmwiki/pmwiki.php/Main/YouNoTakeCandle,'Amnesia: Memories':'https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/AmnesiaMemories'
Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/YouNoTakeCandle/Literature,'Animorphs':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs'
Annie Get Your Gun,https://tvtropes.org/pmwiki/pmwiki.php/Theatre/AnnieGetYourGun,https://tvtropes.org/pmwiki/pmwiki.php/YouNoTakeCandle/Theatre,'Annie Get Your Gun':'https://tvtropes.org/pmwiki/pmwiki.php/Theatre/AnnieGetYourGun'
Aqua Teen Hunger Force,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AquaTeenHungerForce,https://tvtropes.org/pmwiki/pmwiki.php/YouNoTakeCandle/WesternAnimation,'Aqua Teen Hunger Force':'https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/AquaTeenHungerForce'
Arrested Development,https://tvtropes.org/pmwiki/pmwiki.php/Series/ArrestedDevelopment,https://tvtropes.org/pmwiki/pmwiki.php/YouNoTakeCandle/LiveActionTV,'Arrested Development':'https://tvtropes.org/pmwiki/pmwiki.php/Series/ArrestedDevelopment'
